muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
98,3.92,-1167890,-5973.672051775553,nan,-,-,-,-,-
99,3.96,-1174385,-6483.301924344989,nan,-,-,-,-,-
100,4.0,-1179252,-6513.654377330749,nan,-,-,-,-,-
101,4.04,-1179418,-5693.208076094179,nan,-,-,-,-,-
102,4.08,-1184608,-3744.18251700599,nan,-,-,-,-,-
103,4.12,-1182014,-1349.4957332194535,nan,-,-,-,-,-
104,4.16,-1180162,1845.9700133874067,nan,-,-,-,-,-
105,4.2,-1186220,6371.042976613036,nan,-,-,-,-,-
106,4.24,-1194821,11217.075226579986,nan,-,-,-,-,-
107,4.28,-1204259,13616.65670470864,nan,-,-,-,-,-
108,4.32,-1214982,11082.020439657455,nan,-,-,-,-,-
109,4.36,-1225524,4665.852557094549,nan,-,-,-,-,-
110,4.4,-1234776,-1330.3551174516324,nan,-,-,-,-,-
111,4.44,-1243911,-3766.920755044941,nan,-,-,-,-,-
112,4.48,-1246135,-3572.383324176003,nan,-,-,-,-,-
113,4.52,-1168710,-5498.7560194667385,nan,-,-,-,-,-
114,4.56,-1151750,-6305.2471436330015,nan,-,-,-,-,-
115,4.6,-1153721,-6949.300479642137,nan,-,-,-,-,-
116,4.64,-1157886,-7015.769413100974,nan,-,-,-,-,-
117,4.68,-1157978,-6143.1722414675405,nan,-,-,-,-,-
118,4.72,-1159675,-4276.476410049796,nan,-,-,-,-,-
119,4.76,-1163250,-1763.2393691200123,nan,-,-,-,-,-
120,4.8,-1159652,1173.0470253801086,nan,-,-,-,-,-
121,4.84,-1158366,5156.746147651194,nan,-,-,-,-,-
122,4.88,-1162522,9628.17849454428,nan,-,-,-,-,-
123,4.92,-1169927,12083.540684339096,nan,-,-,-,-,-
124,4.96,-1178534,10120.147633558325,nan,-,-,-,-,-
125,5.0,-1188144,4574.759225696853,nan,-,-,-,-,-
126,5.04,-1196027,-835.7279028270059,nan,-,-,-,-,-
127,5.08,-1203794,-3207.386052560787,nan,-,-,-,-,-
128,5.12,-1211799,-2964.904565053983,nan,-,-,-,-,-
