muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.02,-1785047,92.7095575528615,nan,-,-,-,-
2,0.04,-1785203,84.60471225391575,nan,-,-,-,-
3,0.06,-1782301,-259.58948950570937,nan,-,-,-,-
4,0.08,-1785516,-151.09869210669376,nan,-,-,-,-
5,0.1,-1783483,-550.8053101132355,nan,-,-,-,-
6,0.12,-1788153,-491.0943416573141,nan,-,-,-,-
7,0.14,-1790130,-607.502755754715,nan,-,-,-,-
8,0.16,-1789621,-809.9928356863102,nan,-,-,-,-
9,0.18,-1792613,-614.4945209486191,nan,-,-,-,-
10,0.2,-1786069,-1047.6186588272426,nan,-,-,-,-
11,0.22,-1778900,-1476.9143607292845,nan,-,-,-,-
12,0.24,-1771082,-1937.4992882969382,nan,-,-,-,-
13,0.26,-1775173,-1470.729329963735,nan,-,-,-,-
14,0.28,-1774878,-1292.1843301823392,nan,-,-,-,-
15,0.3,-1776243,-873.1902146711818,nan,-,-,-,-
16,0.32,-1777257,-304.18992846009905,nan,-,-,-,-
17,0.34,-1773655,104.7217580916622,nan,-,-,-,-
18,0.36,-1775823,1085.0855119058917,nan,-,-,-,-
19,0.38,-1773030,1670.9050857785019,nan,-,-,-,-
20,0.4,-1776693,2554.394980963867,nan,-,-,-,-
21,0.42,-1778119,2915.4292604877237,nan,-,-,-,-
22,0.44,-1774825,2512.0051475478217,nan,-,-,-,-
23,0.46,-1779265,2370.704657392417,nan,-,-,-,-
24,0.48,-1776164,1480.284438088697,nan,-,-,-,-
25,0.5,-1778459,1000.0554237238434,nan,-,-,-,-
26,0.52,-1775841,255.47352971609598,nan,-,-,-,-
27,0.54,-1780664,225.61047901403163,nan,-,-,-,-
28,0.56,-1781287,-8.74943855165202,nan,-,-,-,-
29,0.58,-1781927,-169.3339354930722,nan,-,-,-,-
30,0.6,-1783845,-195.39670667208702,nan,-,-,-,-
31,0.62,-1781035,-566.8524776423028,nan,-,-,-,-
32,0.64,-1785151,-406.320457555491,nan,-,-,-,-
33,0.66,-1780311,-938.9782232358308,nan,-,-,-,-
34,0.68,-1784511,-789.0024945760556,nan,-,-,-,-
35,0.7,-1781618,-1178.6672672870495,nan,-,-,-,-
36,0.72,-1783809,-1150.6443921862724,nan,-,-,-,-
37,0.74,-1787614,-941.5861876016761,nan,-,-,-,-
38,0.76,-1779954,-1527.4898861499623,nan,-,-,-,-
39,0.78,-1776108,-1716.5477499904982,nan,-,-,-,-
40,0.8,-1768722,-2063.1040823780713,nan,-,-,-,-
41,0.82,-1772060,-1487.8168583489642,nan,-,-,-,-
42,0.84,-1770207,-1227.7380848524108,nan,-,-,-,-
43,0.86,-1773320,-518.8444750586082,nan,-,-,-,-
44,0.88,-1773362,18.72376170247344,nan,-,-,-,-
45,0.9,-1775546,766.6855035808686,nan,-,-,-,-
46,0.92,-1778533,1574.7389019407183,nan,-,-,-,-
47,0.94,-1772275,1591.8889693660358,nan,-,-,-,-
48,0.96,-1775601,2157.1757456841183,nan,-,-,-,-
49,0.98,-1772060,1919.528949261744,nan,-,-,-,-
50,1.0,-1775412,1899.4372485549488,nan,-,-,-,-
51,1.02,-1773533,1233.2709131260237,nan,-,-,-,-
52,1.04,-1774710,697.0078752470267,nan,-,-,-,-
53,1.06,-1780912,596.9309198607698,nan,-,-,-,-
54,1.08,-1779247,50.73174314638254,nan,-,-,-,-
55,1.1,-1783250,121.3823627257143,nan,-,-,-,-
56,1.12,-1778211,-362.71468689697485,nan,-,-,-,-
57,1.14,-1781809,-139.00713439532728,nan,-,-,-,-
58,1.16,-1779982,-373.93175873657174,nan,-,-,-,-
59,1.18,-1783279,-311.4371393932083,nan,-,-,-,-
60,1.2,-1784244,-515.2909519851337,nan,-,-,-,-
61,1.22,-1785563,-726.7028304956534,nan,-,-,-,-
62,1.24,-1787803,-831.8901495172363,nan,-,-,-,-
63,1.26,-1785329,-1206.4212106366485,nan,-,-,-,-
64,1.28,-1787573,-1108.5812587614332,nan,-,-,-,-
65,1.3,-1781398,-1562.2552893301986,nan,-,-,-,-
66,1.32,-1778322,-1719.4679878794323,nan,-,-,-,-
67,1.34,-1773913,-1935.6487269133904,nan,-,-,-,-
68,1.36,-1772437,-1869.2610006351624,nan,-,-,-,-
69,1.38,-1777311,-1219.0111845750826,nan,-,-,-,-
70,1.4,-1771629,-1235.351239806765,nan,-,-,-,-
71,1.42,-1774919,-400.44119907380946,nan,-,-,-,-
72,1.44,-1774112,254.89638109425186,nan,-,-,-,-
73,1.46,-1776942,1229.766249689649,nan,-,-,-,-
74,1.48,-1778678,2029.8583032278166,nan,-,-,-,-
75,1.5,-1777441,2376.8865710612645,nan,-,-,-,-
76,1.52,-1779580,2665.4815819317682,nan,-,-,-,-
77,1.54,-1774007,2031.5282327756443,nan,-,-,-,-
78,1.56,-1777307,1813.9426578462117,nan,-,-,-,-
79,1.58,-1775267,1048.7457216579376,nan,-,-,-,-
80,1.6,-1780252,814.3731344422526,nan,-,-,-,-
81,1.62,-1779887,267.8233527311677,nan,-,-,-,-
82,1.64,-1782149,75.63298248280898,nan,-,-,-,-
83,1.66,-1784675,62.40992489533619,nan,-,-,-,-
84,1.68,-1779709,-402.80028506363556,nan,-,-,-,-
85,1.7,-1786552,90.70764867133221,nan,-,-,-,-
86,1.72,-1781173,-374.625877493212,nan,-,-,-,-
87,1.74,-1785365,-185.00976619369112,nan,-,-,-,-
88,1.76,-1782247,-638.7703574521784,nan,-,-,-,-
89,1.78,-1787080,-529.9051320275721,nan,-,-,-,-
90,1.8,-1786820,-792.1202561694367,nan,-,-,-,-
91,1.82,-1788728,-812.8820137048433,nan,-,-,-,-
92,1.84,-1790250,-763.4927631356409,nan,-,-,-,-
93,1.86,-1782857,-1307.594617871178,nan,-,-,-,-
94,1.88,-1775874,-1749.9805489124137,nan,-,-,-,-
95,1.9,-1771389,-1941.1422331909507,nan,-,-,-,-
96,1.92,-1774609,-1482.4328329778346,nan,-,-,-,-
97,1.94,-1775852,-1098.5482193124244,nan,-,-,-,-
98,1.96,-1777008,-614.7730251905514,nan,-,-,-,-
99,1.98,-1777879,-20.64636617320889,nan,-,-,-,-
100,2.0,-1776681,534.6219122880518,nan,-,-,-,-
101,2.02,-1779131,1414.9745371947874,nan,-,-,-,-
102,2.04,-1773848,1621.1381296177847,nan,-,-,-,-
103,2.06,-1776863,2235.7519826639277,nan,-,-,-,-
104,2.08,-1773539,2036.3558658282648,nan,-,-,-,-
105,2.1,-1777947,2091.738459711768,nan,-,-,-,-
106,2.12,-1776699,1480.1098671271143,nan,-,-,-,-
107,2.14,-1779932,1142.3480157540557,nan,-,-,-,-
108,2.16,-1782914,864.9627750055806,nan,-,-,-,-
109,2.18,-1781662,413.6926007324482,nan,-,-,-,-
110,2.2,-1783957,369.49817816393534,nan,-,-,-,-
111,2.22,-1780563,-45.40243828215898,nan,-,-,-,-
112,2.24,-1783336,-4.749347018217577,nan,-,-,-,-
113,2.26,-1782881,-278.50687850087616,nan,-,-,-,-
114,2.28,-1785370,-396.6689545072941,nan,-,-,-,-
115,2.3,-1787746,-549.3164488700158,nan,-,-,-,-
116,2.32,-1785106,-1046.6582096227683,nan,-,-,-,-
117,2.34,-1787826,-1036.511469458244,nan,-,-,-,-
118,2.36,-1783937,-1411.8726378474203,nan,-,-,-,-
119,2.38,-1789499,-962.4696047384232,nan,-,-,-,-
120,2.4,-1788062,-998.397702405021,nan,-,-,-,-
121,2.42,-1781151,-1443.6345083654696,nan,-,-,-,-
122,2.44,-1779079,-1510.469847966734,nan,-,-,-,-
123,2.46,-1776742,-1563.1713711008915,nan,-,-,-,-
124,2.48,-1779098,-1182.8788616837637,nan,-,-,-,-
125,2.5,-1776536,-1071.87622730145,nan,-,-,-,-
126,2.52,-1779706,-405.71240676230127,nan,-,-,-,-
