muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma
1,0.04,-968201,-285.42740714900583,nan,-,-,-,-,-
2,0.08,-970669,-1313.55556083886,nan,-,-,-,-,-
3,0.12,-970686,-1655.7863742979473,nan,-,-,-,-,-
4,0.16,-971617,-1330.88885024318,nan,-,-,-,-,-
5,0.2,-971467,-909.1177659973989,nan,-,-,-,-,-
6,0.24,-968409,-841.4290922554437,nan,-,-,-,-,-
7,0.28,-958919,-1230.7805721634559,nan,-,-,-,-,-
8,0.32,-953661,-1431.9841596963743,nan,-,-,-,-,-
9,0.36,-951395,-1242.2100337378888,nan,-,-,-,-,-
10,0.4,-953950,-647.5852252029631,nan,-,-,-,-,-
11,0.44,-956911,-18.329101243165496,nan,-,-,-,-,-
12,0.48,-960091,488.94457772599344,nan,-,-,-,-,-
13,0.52,-960419,822.7471213548006,nan,-,-,-,-,-
14,0.56,-959381,1172.7375094749314,nan,-,-,-,-,-
15,0.6,-961468,1736.2564544091283,nan,-,-,-,-,-
16,0.64,-964150,2268.0058514548336,nan,-,-,-,-,-
17,0.68,-966285,2365.2670489940538,nan,-,-,-,-,-
18,0.72,-968634,1745.142432238952,nan,-,-,-,-,-
19,0.76,-969684,478.7711455359977,nan,-,-,-,-,-
20,0.8,-970695,-814.4096180031727,nan,-,-,-,-,-
21,0.84,-970679,-1568.8126933074848,nan,-,-,-,-,-
22,0.88,-971319,-1580.57200315755,nan,-,-,-,-,-
23,0.92,-970968,-1235.4944188665331,nan,-,-,-,-,-
24,0.96,-969515,-995.7024724942953,nan,-,-,-,-,-
25,1.0,-962275,-1201.738411967489,nan,-,-,-,-,-
26,1.04,-952667,-1567.0748385404368,nan,-,-,-,-,-
27,1.08,-951324,-1462.4583115472778,nan,-,-,-,-,-
28,1.12,-952411,-977.5201026959444,nan,-,-,-,-,-
29,1.16,-954603,-287.62036948710966,nan,-,-,-,-,-
30,1.2,-959279,456.6925915037318,nan,-,-,-,-,-
31,1.24,-960341,956.6498383294229,nan,-,-,-,-,-
32,1.28,-959333,1298.0946120505369,nan,-,-,-,-,-
33,1.32,-959939,1706.3833440502494,nan,-,-,-,-,-
34,1.36,-963566,2224.9537309127118,nan,-,-,-,-,-
35,1.4,-966672,2479.047925082529,nan,-,-,-,-,-
36,1.44,-968186,2047.60799819376,nan,-,-,-,-,-
37,1.48,-969022,876.5039779391618,nan,-,-,-,-,-
38,1.52,-970892,-512.6574877383107,nan,-,-,-,-,-
39,1.56,-971198,-1516.548136805916,nan,-,-,-,-,-
40,1.6,-971297,-1758.2639075428638,nan,-,-,-,-,-
41,1.64,-971631,-1441.4619291622953,nan,-,-,-,-,-
42,1.68,-970433,-1110.3624706315868,nan,-,-,-,-,-
43,1.72,-966537,-1126.3697232433724,nan,-,-,-,-,-
44,1.76,-954725,-1573.388990460966,nan,-,-,-,-,-
45,1.8,-951727,-1583.3779511468365,nan,-,-,-,-,-
46,1.84,-952161,-1146.6404956748156,nan,-,-,-,-,-
47,1.88,-956767,-369.1400219359575,nan,-,-,-,-,-
48,1.92,-959620,321.73439531728764,nan,-,-,-,-,-
49,1.96,-961230,835.4096421045842,nan,-,-,-,-,-
50,2.0,-960029,1167.096884841451,nan,-,-,-,-,-
51,2.04,-960075,1545.7258448139078,nan,-,-,-,-,-
52,2.08,-962322,2034.9161060336774,nan,-,-,-,-,-
53,2.12,-964148,2371.6520253702456,nan,-,-,-,-,-
54,2.16,-966725,2203.6542452795484,nan,-,-,-,-,-
55,2.2,-968116,1224.5163575049737,nan,-,-,-,-,-
56,2.24,-969733,-196.90363002015283,nan,-,-,-,-,-
57,2.28,-970714,-1330.5042535737905,nan,-,-,-,-,-
58,2.32,-970509,-1672.3487770598524,nan,-,-,-,-,-
59,2.36,-971388,-1300.9958221365382,nan,-,-,-,-,-
60,2.4,-970913,-864.588642203245,nan,-,-,-,-,-
61,2.44,-968080,-810.8124862819195,nan,-,-,-,-,-
62,2.48,-956163,-1319.0270290080352,nan,-,-,-,-,-
63,2.52,-951551,-1545.4068281710715,nan,-,-,-,-,-
64,2.56,-950654,-1365.9562587323271,nan,-,-,-,-,-
65,2.6,-954351,-766.3524760350929,nan,-,-,-,-,-
66,2.64,-958390,-50.28435596796362,nan,-,-,-,-,-
67,2.68,-960929,568.5684857138458,nan,-,-,-,-,-
68,2.72,-960379,989.3524380421786,nan,-,-,-,-,-
69,2.76,-959681,1369.3534815113308,nan,-,-,-,-,-
70,2.8,-960967,1860.5866103546482,nan,-,-,-,-,-
71,2.84,-964556,2368.536569037794,nan,-,-,-,-,-
72,2.88,-966025,2363.776982954788,nan,-,-,-,-,-
73,2.92,-968053,1578.375972759523,nan,-,-,-,-,-
74,2.96,-968785,131.83969050523046,nan,-,-,-,-,-
75,3.0,-970161,-1186.8068978939523,65,65.0,-,-,-,-
76,3.04,-970352,-1774.4748589164444,65,-,-,-,-,-
77,3.08,-969819,-1574.0644118818036,65,-,-,-,-,-
78,3.12,-969587,-1056.233507654567,65,-,-,-,-,-
79,3.16,-961697,-1002.4791861160011,65,-,-,-,-,-
80,3.2,-954405,-1262.8812613820664,65,-,-,-,-,-
81,3.24,-952504,-1399.9418749119322,65,-,-,-,-,-
82,3.28,-953759,-1170.0141443457837,65,-,-,-,-,-
83,3.32,-957223,-566.7778449025773,65,-,-,-,-,-
84,3.36,-961729,171.75945408061943,65,-,-,-,-,-
85,3.4,-961134,666.1515145269359,65,-,-,-,-,-
86,3.44,-960250,1058.3520910377879,65,-,-,-,-,-
87,3.48,-962041,1528.1723306763956,65,-,-,-,-,-
88,3.52,-963405,1970.0160595384218,65,-,-,-,-,-
89,3.56,-965898,2202.4983967383187,65,-,-,-,-,-
90,3.6,-967742,1826.2530535742549,65,-,-,-,-,-
91,3.64,-968772,764.7792974282866,65,-,-,-,-,-
92,3.68,-969466,-527.2847923285602,65,-,-,-,-,-
93,3.72,-970465,-1372.6513291910119,65,-,-,-,-,-
94,3.76,-970383,-1497.78394755406,65,-,-,-,-,-
95,3.8,-970538,-1105.708095055329,65,-,-,-,-,-
96,3.84,-969033,-771.1449615098263,65,-,-,-,-,-
97,3.88,-964828,-825.541195365874,65,-,-,-,-,-
98,3.92,-953890,-1273.831113323482,65,-,-,-,-,-
99,3.96,-950385,-1349.7467721166777,65,-,-,-,-,-
100,4.0,-952243,-967.4708540607635,65,-,-,-,-,-
101,4.04,-956465,-316.7865171267176,65,-,-,-,-,-
102,4.08,-959625,308.45594518784674,65,-,-,-,-,-
103,4.12,-962525,825.6939665225445,65,-,-,-,-,-
104,4.16,-960104,1092.3293794229871,65,-,-,-,-,-
105,4.2,-960731,1466.3178273559402,65,-,-,-,-,-
106,4.24,-963993,1956.7353465359083,65,-,-,-,-,-
107,4.28,-965604,2232.433574133761,65,-,-,-,-,-
108,4.32,-968845,2018.6608793374353,65,-,-,-,-,-
109,4.36,-969799,979.671452944252,65,-,-,-,-,-
110,4.4,-970178,-481.6126014314691,65,-,-,-,-,-
111,4.44,-970699,-1588.0824110022172,65,-,-,-,-,-
112,4.48,-970159,-1875.1952369982291,65,-,-,-,-,-
113,4.52,-972499,-1384.7473742648313,65,-,-,-,-,-
114,4.56,-971083,-916.1632744612934,65,-,-,-,-,-
115,4.6,-969278,-793.8248350905114,65,-,-,-,-,-
116,4.64,-958123,-1259.0300840760901,65,-,-,-,-,-
117,4.68,-953760,-1433.4596484638078,65,-,-,-,-,-
118,4.72,-954794,-1102.751873085852,65,-,-,-,-,-
119,4.76,-957090,-455.0351536063704,65,-,-,-,-,-
120,4.8,-960986,273.60632196658844,65,-,-,-,-,-
121,4.84,-962515,756.7417771111786,65,-,-,-,-,-
122,4.88,-961986,994.541663668449,65,-,-,-,-,-
123,4.92,-961406,1215.3369737716575,65,-,-,-,-,-
124,4.96,-962520,1623.6382562136578,65,-,-,-,-,-
125,5.0,-965731,2110.79680250848,65,-,-,-,-,-
126,5.04,-967678,2143.5809959315493,65,-,-,-,-,-
127,5.08,-970141,1433.58472948312,65,-,-,-,-,-
128,5.12,-971074,123.39843092223191,65,-,-,-,-,-
129,5.16,-971614,-1049.6038507288463,65,-,-,-,-,-
130,5.2,-970683,-1548.263677871541,65,-,-,-,-,-
131,5.24,-970601,-1328.6218664929381,65,-,-,-,-,-
132,5.28,-970296,-907.243339122524,65,-,-,-,-,-
133,5.32,-967068,-811.0217843399396,65,-,-,-,-,-
134,5.36,-954924,-1292.472883662238,65,-,-,-,-,-
135,5.4,-950916,-1530.8255475844744,65,-,-,-,-,-
136,5.44,-951815,-1334.6195775492506,65,-,-,-,-,-
137,5.48,-954700,-734.4614959006016,65,-,-,-,-,-
138,5.52,-957810,44.20447763793027,65,-,-,-,-,-
139,5.56,-960678,759.8899320015571,65,-,-,-,-,-
140,5.6,-958137,1128.9198361387198,65,-,-,-,-,-
141,5.64,-959369,1499.5422101772024,65,-,-,-,-,-
142,5.68,-958393,1804.0434373770659,65,-,-,-,-,-
143,5.72,-959994,2139.3569448260514,65,-,-,-,-,-
144,5.76,-961547,2061.770367143295,65,-,-,-,-,-
145,5.8,-962863,1237.5243472177108,65,-,-,-,-,-
146,5.84,-964716,-88.11972144016181,65,-,-,-,-,-
147,5.88,-964723,-1262.894106068433,65,-,-,-,-,-
148,5.92,-966229,-1607.3469311881092,65,-,-,-,-,-
149,5.96,-967332,-1248.4689892627266,65,-,-,-,-,-
150,6.0,-966932,-734.3294481921321,67,66.0,-,-,-,-
151,6.04,-962670,-586.5978514816634,67,-,-,-,-,-
152,6.08,-953023,-928.6710693471468,67,-,-,-,-,-
153,6.12,-948638,-1197.5807129724653,67,-,-,-,-,-
154,6.16,-946474,-1241.0895101710148,67,-,-,-,-,-
155,6.2,-946022,-984.3427878674015,67,-,-,-,-,-
156,6.24,-914564,-1528.2693422389857,67,-,-,-,-,-
157,6.28,-837757,-3369.201693332783,67,-,-,-,-,-
158,6.32,-710523,-6508.109506364446,67,-,-,-,-,-
159,6.36,-628639,-7500.605730361567,67,-,-,-,-,-
160,6.4,-641572,-4477.252025693713,67,-,-,-,-,-
161,6.44,-657231,-582.4528105532117,67,-,-,-,-,-
162,6.48,-622317,1853.040722311409,67,-,-,-,-,-
163,6.52,-704779,7756.642613821401,67,-,-,-,-,-
164,6.56,-757705,12835.149371145264,67,-,-,-,-,-
