muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
103,2.06,-1324098,-638.977454634793,nan,-,-,-,-
104,2.08,-1329101,-314.05204895676343,nan,-,-,-,-
105,2.1,-1326946,-713.0438879177304,nan,-,-,-,-
106,2.12,-1330580,-775.4520947692927,nan,-,-,-,-
107,2.14,-1328305,-1302.5920735008553,nan,-,-,-,-
108,2.16,-1331770,-1318.014835953368,nan,-,-,-,-
109,2.18,-1331343,-1505.789874921343,nan,-,-,-,-
110,2.2,-1326485,-1883.1180683179668,nan,-,-,-,-
111,2.22,-1321534,-2112.9956931065417,nan,-,-,-,-
112,2.24,-1316478,-2207.032198319468,nan,-,-,-,-
113,2.26,-1313998,-1975.7681154108013,nan,-,-,-,-
114,2.28,-1311758,-1606.7114281619433,nan,-,-,-,-
115,2.3,-1317547,-507.2211325211274,nan,-,-,-,-
116,2.32,-1319166,373.3888696487502,nan,-,-,-,-
117,2.34,-1327213,1800.4736917465534,nan,-,-,-,-
118,2.36,-1327252,2578.9287765654335,nan,-,-,-,-
119,2.38,-1330019,3399.749300633055,nan,-,-,-,-
120,2.4,-1334539,4032.4977432444884,nan,-,-,-,-
121,2.42,-1333910,3812.4897012121355,nan,-,-,-,-
122,2.44,-1338060,3446.0932453028763,nan,-,-,-,-
123,2.46,-1336313,2181.546861124145,nan,-,-,-,-
124,2.48,-1338217,933.4487642490794,nan,-,-,-,-
125,2.5,-1333695,-816.2372572689527,nan,-,-,-,-
126,2.52,-1336608,-1759.2537806275598,nan,-,-,-,-
127,2.54,-1332576,-2825.924368254579,nan,-,-,-,-
128,2.56,-1331735,-3175.1751715805844,nan,-,-,-,-
129,2.58,-1326392,-3424.2884871148517,nan,-,-,-,-
130,2.6,-1322767,-3184.610279138844,nan,-,-,-,-
131,2.62,-1317146,-2840.7669488860793,nan,-,-,-,-
132,2.64,-1310014,-2441.9935318332755,nan,-,-,-,-
133,2.66,-1299971,-2147.2988991656057,nan,-,-,-,-
134,2.68,-1298295,-1122.0995680241977,nan,-,-,-,-
135,2.7,-1296750,-19.856836705808746,nan,-,-,-,-
136,2.72,-1295032,1109.7012700642117,nan,-,-,-,-
137,2.74,-1298996,2670.8024291180864,nan,-,-,-,-
138,2.76,-1297326,3720.587061645985,nan,-,-,-,-
139,2.78,-1299684,4888.534384118995,nan,-,-,-,-
140,2.8,-1296176,5293.315817981658,nan,-,-,-,-
141,2.82,-1300598,5875.31128344586,nan,-,-,-,-
142,2.84,-1297706,5399.802643714104,nan,-,-,-,-
143,2.86,-1302315,5009.574727977531,nan,-,-,-,-
144,2.88,-1303861,3995.5429100925176,nan,-,-,-,-
145,2.9,-1302709,2560.0301066555276,nan,-,-,-,-
146,2.92,-1307178,1534.9012745597593,nan,-,-,-,-
147,2.94,-1301277,-138.58342243493644,nan,-,-,-,-
148,2.96,-1304465,-875.7332906911233,nan,-,-,-,-
149,2.98,-1299249,-1992.757782499435,nan,-,-,-,-
150,3.0,-1301737,-2283.81171915505,13,13.0,-,-,-
152,3.04,-1300158,-2690.984173656955,13,-,-,-,-
153,3.06,-1300171,-2812.526823274364,13,-,-,-,-
154,3.08,-1293813,-3261.2297004830257,13,-,-,-,-
155,3.1,-1291465,-3233.8418255579686,13,-,-,-,-
156,3.12,-1291154,-2884.3101712138837,13,-,-,-,-
157,3.14,-1295959,-2019.8796420267577,13,-,-,-,-
158,3.16,-1301052,-1085.3059399846807,13,-,-,-,-
159,3.18,-1312625,295.3413425886465,13,-,-,-,-
160,3.2,-1310777,502.42918661153817,13,-,-,-,-
161,3.22,-1318638,1227.0914188146544,13,-,-,-,-
162,3.24,-1318197,1023.7397540663005,13,-,-,-,-
163,3.26,-1321621,774.0998551482517,13,-,-,-,-
164,3.28,-1321753,-76.8692133799359,13,-,-,-,-
165,3.3,-1324926,-985.8749101634776,13,-,-,-,-
166,3.32,-1325017,-2276.560121410024,13,-,-,-,-
167,3.34,-1329597,-3159.2847660509788,13,-,-,-,-
168,3.36,-1332254,-3911.950355220856,13,-,-,-,-
169,3.38,-1329892,-4623.963825527817,13,-,-,-,-
170,3.4,-1334978,-4307.673576969616,13,-,-,-,-
171,3.42,-1329760,-4403.7923758343895,13,-,-,-,-
172,3.44,-1341511,-2981.157764757351,13,-,-,-,-
173,3.46,-1337419,-2719.130514641446,13,-,-,-,-
174,3.48,-1335540,-2347.8082134519,13,-,-,-,-
175,3.5,-1336579,-1850.101319413543,13,-,-,-,-
176,3.52,-1331276,-1916.6863981083025,13,-,-,-,-
177,3.54,-1328529,-1806.4616145906457,13,-,-,-,-
178,3.56,-1321861,-1940.234875231803,13,-,-,-,-
179,3.58,-1322405,-1402.9152758451855,13,-,-,-,-
180,3.6,-1318597,-1040.6555036757127,13,-,-,-,-
181,3.62,-1319058,-176.34615781360117,13,-,-,-,-
182,3.64,-1315594,553.0727768413817,13,-,-,-,-
183,3.66,-1312075,1399.373546944642,13,-,-,-,-
184,3.68,-1310115,2399.8711603132924,13,-,-,-,-
185,3.7,-1304340,3031.1180625482884,13,-,-,-,-
186,3.72,-1302906,3813.6268411462224,13,-,-,-,-
187,3.74,-1296036,3940.236693663841,13,-,-,-,-
188,3.76,-1292562,4091.5992410234685,13,-,-,-,-
189,3.78,-1284576,3732.0313217605835,13,-,-,-,-
190,3.8,-1273995,3122.956226112012,13,-,-,-,-
191,3.82,-1262630,2531.1506758379037,13,-,-,-,-
192,3.84,-1244683,1623.912863182246,13,-,-,-,-
193,3.86,-1234024,1539.9686833635242,13,-,-,-,-
194,3.88,-1232513,2445.051051622944,13,-,-,-,-
195,3.9,-1231488,3641.1384703609974,13,-,-,-,-
196,3.92,-1224333,4553.3902320753805,13,-,-,-,-
197,3.94,-1211200,5104.486154235159,13,-,-,-,-
198,3.96,-1193582,5301.219249949347,13,-,-,-,-
199,3.98,-1181049,5747.867526489634,13,-,-,-,-
200,4.0,-1170833,6103.128867821137,13,-,-,-,-
201,4.02,-1160946,6132.877246090624,13,-,-,-,-
202,4.04,-1154333,6078.848645624874,13,-,-,-,-
203,4.06,-1155850,6428.10271389438,13,-,-,-,-
204,4.08,-1155178,6551.4318562266835,13,-,-,-,-
205,4.1,-1156028,6850.4713323047,13,-,-,-,-
206,4.12,-1151223,6759.693012122476,13,-,-,-,-
207,4.14,-1147626,6634.167033988935,13,-,-,-,-
208,4.16,-1138075,5680.380222365566,13,-,-,-,-
209,4.18,-1133616,4561.158152944263,13,-,-,-,-
210,4.2,-1132842,3148.452372073745,13,-,-,-,-
211,4.22,-1130853,1234.9988178756685,13,-,-,-,-
212,4.24,-1130887,-630.8187513812809,13,-,-,-,-
213,4.26,-1125588,-2681.912181386637,13,-,-,-,-
214,4.28,-1126272,-3808.3166754629674,13,-,-,-,-
215,4.3,-1123076,-4686.542245791934,13,-,-,-,-
216,4.32,-1121736,-4970.791479464351,13,-,-,-,-
217,4.34,-1116945,-5266.005572487262,13,-,-,-,-
218,4.36,-1111502,-5559.596978641641,13,-,-,-,-
219,4.38,-1104433,-6041.298931356352,13,-,-,-,-
220,4.4,-1094551,-6788.373089258571,13,-,-,-,-
221,4.42,-1089788,-7081.571877138065,13,-,-,-,-
222,4.44,-1085695,-7121.650689701613,13,-,-,-,-
223,4.46,-1083195,-6736.394218050792,13,-,-,-,-
224,4.48,-1079740,-6088.135292847385,13,-,-,-,-
225,4.5,-1076237,-5149.9343265992975,13,-,-,-,-
226,4.52,-1072777,-4022.9897529854393,13,-,-,-,-
227,4.54,-1073122,-2578.228741357113,13,-,-,-,-
228,4.56,-1070901,-1482.0381254235108,13,-,-,-,-
229,4.58,-1068088,-731.7313565217278,13,-,-,-,-
230,4.6,-1064981,-381.8445607883441,13,-,-,-,-
231,4.62,-1063559,-268.72082403796526,13,-,-,-,-
232,4.64,-1062019,-441.9457691302914,13,-,-,-,-
233,4.66,-1057216,-1006.4543362308627,13,-,-,-,-
234,4.68,-1054374,-1425.803845450247,13,-,-,-,-
235,4.7,-1049264,-1919.37888117276,13,-,-,-,-
236,4.72,-1048035,-1959.8007998336443,13,-,-,-,-
237,4.74,-1044041,-2038.016103596593,13,-,-,-,-
238,4.76,-1042102,-1796.6550601964527,13,-,-,-,-
239,4.78,-1037463,-1630.204245313329,13,-,-,-,-
240,4.8,-1035969,-1135.903839644514,13,-,-,-,-
241,4.82,-1032797,-732.3025889330811,13,-,-,-,-
242,4.84,-1023228,-818.7747937175172,13,-,-,-,-
243,4.86,-1016593,-697.6020220798255,13,-,-,-,-
244,4.88,-1009533,-625.4937764648221,13,-,-,-,-
245,4.9,-1009436,-26.775430766878344,13,-,-,-,-
246,4.92,-1005350,282.5637665542399,13,-,-,-,-
247,4.94,-1009639,1267.890932070659,13,-,-,-,-
248,4.96,-1010361,2009.2568087408272,13,-,-,-,-
249,4.98,-1010499,2687.805809259603,13,-,-,-,-
250,5.0,-1015387,3619.349192516019,13,-,-,-,-
251,5.02,-1018372,4159.302473297712,13,-,-,-,-
252,5.04,-1019209,4151.516228362436,13,-,-,-,-
253,5.06,-1022721,3876.0565090984073,13,-,-,-,-
254,5.08,-1021185,2743.255102334868,13,-,-,-,-
255,5.1,-1024276,1604.9895551066184,13,-,-,-,-
256,5.12,-1026654,239.8032845109501,13,-,-,-,-
257,5.14,-1027244,-1223.274063836241,13,-,-,-,-
258,5.16,-1030823,-2240.6287521109953,13,-,-,-,-
259,5.18,-1029285,-3323.3222375034948,13,-,-,-,-
260,5.2,-1033814,-3585.720067781407,13,-,basal,-,-
261,5.22,-1034244,-3845.4103185223094,13,-,basal,-,-
262,5.24,-1038110,-3609.992021209383,13,-,basal,-,-
263,5.26,-1041322,-3295.4387061901134,13,-,basal,-,-
264,5.28,-1038451,-3405.74140243946,13,-,basal,-,-
265,5.3,-1035491,-3526.5637667125197,13,-,basal,-,-
266,5.32,-1031473,-3728.273532858604,13,-,basal,-,-
267,5.34,-1030568,-3656.3319772782143,13,-,basal,-,-
268,5.36,-1027293,-3676.256942962147,13,-,basal,-,-
269,5.38,-1028140,-3235.4402483238027,13,-,basal,-,-
270,5.4,-1026115,-2823.779346660609,13,-,basal,-,-
271,5.42,-1026060,-2049.712233638036,13,-,basal,-,-
272,5.44,-1024343,-1211.5356857971474,13,-,basal,-,-
273,5.46,-1020361,-423.5408381594316,13,-,basal,-,-
274,5.48,-1017813,488.12803687417727,13,-,basal,-,-
275,5.5,-1015377,1299.1428607530233,13,-,basal,-,-
276,5.52,-1016525,2176.091445680546,13,-,basal,-,-
277,5.54,-1014514,2566.5904762320315,13,-,basal,-,-
278,5.56,-1016285,3031.2639073168984,13,-,basal,-,-
279,5.58,-1015126,3124.653839020035,13,-,basal,-,-
280,5.6,-1016844,3354.9553281231865,13,-,basal,-,-
281,5.62,-1016255,3355.0505774227454,13,-,basal,-,-
282,5.64,-1018018,3467.1025002712713,13,-,basal,-,-
283,5.66,-1018564,3375.8085822665757,13,-,basal,-,-
284,5.68,-1018402,3081.644545064981,13,-,basal,-,-
285,5.7,-1020982,2841.704577391623,13,-,basal,-,-
286,5.72,-1015891,1896.117445106844,13,-,basal,-,-
287,5.74,-1012775,1061.070882355405,13,-,basal,-,-
288,5.76,-1004192,-134.02092712861486,13,-,basal,-,-
289,5.78,-1003498,-576.0785868447028,13,-,basal,-,-
290,5.8,-999726,-1036.4240808294935,13,-,basal,-,-
291,5.82,-1000831,-868.4089177850465,13,-,basal,-,-
292,5.84,-1001285,-489.4078961184714,13,-,basal,-,-
293,5.86,-1001900,126.29453853365305,13,-,basal,-,-
294,5.88,-1004913,1066.8846692402722,13,-,basal,-,-
295,5.9,-1003823,1704.5857210077493,13,-,basal,-,-
296,5.92,-1005174,2383.22412158523,13,-,basal,-,-
297,5.94,-1001896,2417.395169940485,13,-,basal,-,-
298,5.96,-1003335,2434.0130706883338,13,-,basal,-,-
299,5.98,-1002094,1873.2127782169418,13,-,basal,-,-
300,6.0,-1003192,1221.6628068093742,30,21.5,basal,-,-
301,6.02,-1003887,436.6207865687029,30,-,basal,-,-
302,6.04,-1004370,-296.2726518143254,30,-,basal,-,-
303,6.06,-1004230,-883.2051712978928,30,-,basal,-,-
304,6.08,-1004134,-1224.9377674647458,30,-,basal,-,-
305,6.1,-1004495,-1317.84254071541,30,-,basal,-,-
306,6.12,-1003536,-1376.13970546057,30,-,basal,-,-
307,6.14,-1006066,-1123.0234476427822,30,-,basal,-,-
308,6.16,-1003413,-1290.1970472450057,30,-,basal,-,-
309,6.18,-1000097,-1547.8351008469394,30,-,basal,-,-
310,6.2,-993517,-2061.419113530962,30,-,basal,-,-
311,6.22,-990624,-2236.4299482623537,30,-,basal,-,-
312,6.24,-985639,-2452.360675522721,30,-,basal,-,-
313,6.26,-987129,-2008.884024857004,30,-,basal,-,-
314,6.28,-985636,-1614.3576400408983,30,-,basal,-,-
315,6.3,-987745,-779.4269417452902,30,-,basal,-,-
316,6.32,-989340,130.47106575438943,30,-,basal,-,-
317,6.34,-989639,967.4131781222811,30,-,basal,-,-
318,6.36,-990557,1758.3649791527832,30,-,basal,-,-
319,6.38,-989573,2177.730564357031,30,-,basal,-,-
320,6.4,-990055,2377.0428877296454,30,-,basal,-,-
321,6.42,-987810,1995.905171639428,30,-,basal,-,-
322,6.44,-990110,1643.951846351148,30,-,basal,-,-
323,6.46,-988184,778.7497716264595,30,-,basal,-,-
324,6.48,-990685,228.16331557659078,30,-,basal,-,-
325,6.5,-991957,-295.2994658441535,30,-,basal,-,-
326,6.52,-991853,-719.2461256478487,30,-,basal,-,-
327,6.54,-993077,-825.932148203472,30,-,basal,-,-
328,6.56,-993067,-866.1320201271251,30,-,basal,-,-
329,6.58,-994266,-740.338481804275,30,-,basal,-,-
330,6.6,-991577,-920.3206365849877,30,-,basal,-,-
331,6.62,-987862,-1227.0552899007457,30,-,basal,-,-
332,6.64,-978501,-1994.6708989375074,30,-,basal,-,-
333,6.66,-978155,-2035.150476881765,30,-,basal,-,-
334,6.68,-973697,-2269.945273584237,30,-,basal,-,-
335,6.7,-974867,-1879.94968832031,30,-,basal,-,-
336,6.72,-973905,-1417.61340345804,30,-,basal,-,-
337,6.74,-975295,-552.1557305657152,30,-,basal,-,-
338,6.76,-975466,373.1155764341686,30,-,basal,-,-
339,6.78,-977331,1455.9059499133818,30,-,basal,-,-
340,6.8,-978602,2360.2985270863555,30,-,basal,-,-
341,6.82,-976425,2711.8602540135294,30,-,basal,-,-
342,6.84,-975897,2798.0475426736366,30,-,basal,-,-
343,6.86,-974752,2433.412964630148,30,-,basal,-,-
344,6.88,-977116,2018.122562219598,30,-,basal,-,-
345,6.9,-973655,994.2286219297742,30,-,basal,-,-
346,6.92,-975421,384.8221853468549,30,-,basal,-,-
347,6.94,-974260,-292.1225177433446,30,-,basal,-,-
348,6.96,-976055,-513.4487864669127,30,-,basal,-,-
349,6.98,-977169,-558.7053763189838,30,-,basal,-,-
350,7.0,-976922,-540.3848793106799,30,-,basal,-,-
351,7.02,-978316,-319.93745146559786,30,-,basal,-,-
352,7.04,-973219,-605.6188834766451,30,-,basal,-,-
353,7.06,-969991,-803.514454220378,30,-,basal,-,-
354,7.08,-964100,-1255.621104959736,30,-,basal,-,-
355,7.1,-962959,-1348.6487927411617,30,-,basal,-,-
356,7.12,-959801,-1532.6479811016916,30,-,basal,-,-
357,7.14,-960763,-1268.0612880302451,30,-,basal,-,-
358,7.16,-961294,-856.2179930246248,30,-,basal,-,-
359,7.18,-963972,-98.97469258677825,30,-,basal,-,-
360,7.2,-962454,461.9901159389433,30,-,basal,-,-
361,7.22,-965385,1375.3158393562571,30,-,basal,-,-
362,7.24,-965342,1924.6746444261826,30,-,basal,-,-
363,7.26,-966104,2259.626312511471,30,-,basal,-,-
364,7.28,-965980,2171.611094324984,30,-,basal,-,-
365,7.3,-966992,1822.9982199549095,30,-,basal,-,-
366,7.32,-968614,1265.3338524101428,30,-,basal,-,-
367,7.34,-966541,314.5887365452131,30,-,basal,-,-
368,7.36,-968887,-256.25282984382875,30,-,basal,-,-
369,7.38,-966574,-1028.1081469673056,30,-,basal,-,-
370,7.4,-968164,-1291.7804877748717,30,-,basal,-,-
371,7.42,-970452,-1299.9746204741919,30,-,basal,-,-
372,7.44,-970044,-1361.7753554328206,30,-,basal,-,-
373,7.46,-965995,-1603.937980667334,30,-,basal,-,-
374,7.48,-960110,-1923.8523590475943,30,-,basal,-,-
375,7.5,-956598,-2010.1156162619263,30,-,basal,-,-
376,7.52,-953220,-2024.31294033017,30,-,basal,-,-
377,7.54,-951365,-1835.0043446543586,30,-,basal,-,-
378,7.56,-952331,-1315.30098934743,30,-,basal,-,-
379,7.58,-950988,-839.5861082206184,30,-,basal,-,-
380,7.6,-954267,115.80689246310817,30,-,basal,-,-
381,7.62,-957964,1174.761120383478,30,-,basal,-,-
382,7.64,-957183,1857.146858866764,30,-,basal,-,-
383,7.66,-957839,2478.6366203999437,30,-,basal,-,-
384,7.68,-957728,2736.879110890429,30,-,basal,-,-
385,7.7,-957343,2589.209818395679,30,-,basal,-,-
386,7.72,-955798,1983.1135751758172,30,-,basal,-,-
387,7.74,-957442,1359.504832162033,30,-,basal,-,-
388,7.76,-959550,671.8919027260217,30,-,basal,-,-
389,7.78,-959374,-123.10006190041759,30,-,induccion,-,-
390,7.8,-961199,-569.8055804963828,30,-,induccion,-,-
391,7.82,-947917,-1905.7256400759625,30,-,induccion,-,-
392,7.84,-951958,-1642.5721397172824,30,-,induccion,-,-
393,7.86,-950708,-1572.7365581361669,30,-,induccion,-,-
394,7.88,-950810,-1276.795046214078,30,-,induccion,-,-
395,7.9,-950780,-934.9154230553306,30,-,induccion,-,-
396,7.92,-949716,-650.0715871160266,30,-,induccion,-,-
397,7.94,-951995,-95.56727086004332,30,-,induccion,-,-
398,7.96,-950540,178.18881753388303,30,-,induccion,-,-
399,7.98,-953407,755.1914373410696,30,-,induccion,-,-
