muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
97,3.88,-1316210,1099.362540932003,nan,-,-,-,-,-
98,3.92,-1316278,2907.686359103076,nan,-,-,-,-,-
99,3.96,-1320406,5290.528683468188,nan,-,-,-,-,-
100,4.0,-1325324,7437.853320087883,nan,-,-,-,-,-
101,4.04,-1330658,7770.603626652974,nan,-,-,-,-,-
102,4.08,-1335906,5324.560720834626,nan,-,-,-,-,-
103,4.12,-1340505,1258.3661016536844,nan,-,-,-,-,-
104,4.16,-1344399,-1970.232938421429,nan,-,-,-,-,-
105,4.2,-1347890,-3049.5332219017055,nan,-,-,-,-,-
106,4.24,-1351469,-2680.358935538147,nan,-,-,-,-,-
107,4.28,-1353656,-2259.8650431458204,nan,-,-,-,-,-
108,4.32,-1318434,-3525.9789297958378,nan,-,-,-,-,-
109,4.36,-1299571,-4486.289219608108,nan,-,-,-,-,-
110,4.4,-1301218,-4482.6606478802205,nan,-,-,-,-,-
111,4.44,-1305178,-3800.0833833842535,nan,-,-,-,-,-
112,4.48,-1306677,-2652.5210412444158,nan,-,-,-,-,-
113,4.52,-1307500,-1274.5762541949825,nan,-,-,-,-,-
114,4.56,-1310673,193.4827787207887,nan,-,-,-,-,-
115,4.6,-1310304,1632.3164566403548,nan,-,-,-,-,-
116,4.64,-1310037,3435.5348048753704,nan,-,-,-,-,-
117,4.68,-1312551,5543.207563065142,nan,-,-,-,-,-
118,4.72,-1317091,6822.029056827181,nan,-,-,-,-,-
119,4.76,-1322029,5875.254908795941,nan,-,-,-,-,-
120,4.8,-1326662,2794.7022327854193,nan,-,-,-,-,-
121,4.84,-1331394,-496.0690654693135,nan,-,-,-,-,-
122,4.88,-1335151,-2216.322384957036,nan,-,-,-,-,-
123,4.92,-1338576,-2272.3956025055013,nan,-,-,-,-,-
124,4.96,-1342838,-1731.7586271459954,nan,-,-,-,-,-
125,5.0,-1347864,-1438.6180278885975,nan,-,-,-,-,-
126,5.04,-1319352,-2595.696712832425,nan,-,-,-,-,-
127,5.08,-1297972,-3621.9377315627535,nan,-,-,-,-,-
128,5.12,-1302469,-3597.4405599870224,nan,-,-,-,-,-
129,5.16,-1307270,-3122.0586526464867,nan,-,-,-,-,-
130,5.2,-1308773,-2281.8468721716467,nan,-,-,-,-,-
131,5.24,-1312524,-1097.0492073130822,nan,-,-,-,-,-
132,5.28,-1310943,-45.42665218726279,nan,-,-,-,-,-
133,5.32,-1310287,1092.7262331444672,nan,-,-,-,-,-
134,5.36,-1313005,2671.356486004527,nan,-,-,-,-,-
135,5.4,-1317647,4622.715810368089,nan,-,-,-,-,-
136,5.44,-1321959,5945.8664107072145,nan,-,-,-,-,-
137,5.48,-1326674,5335.3708060102745,nan,-,-,-,-,-
138,5.52,-1330843,2655.4219114575953,nan,-,-,-,-,-
139,5.56,-1334357,-395.16644802482006,nan,-,-,-,-,-
140,5.6,-1337677,-1968.5862292877255,nan,-,-,-,-,-
141,5.64,-1337929,-1978.3325182781778,nan,-,-,-,-,-
142,5.68,-1309777,-2365.5583144667617,nan,-,-,-,-,-
143,5.72,-1296490,-2665.23106159244,nan,-,-,-,-,-
144,5.76,-1301024,-2798.3052514524625,nan,-,-,-,-,-
145,5.8,-1306148,-2802.5308895611306,nan,-,-,-,-,-
146,5.84,-1308498,-2391.886768656999,nan,-,-,-,-,-
147,5.88,-1310900,-1500.1528941494362,nan,-,-,-,-,-
148,5.92,-1313854,-351.1076144228891,nan,-,-,-,-,-
149,5.96,-1311584,802.7915736300638,nan,-,-,-,-,-
