muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
1,0.02,-1675521,5317.181286201675,nan,-,-,-,-
2,0.04,-1677385,6544.0157182459425,nan,-,-,-,-
3,0.06,-1675702,6627.810812462095,nan,-,-,-,-
4,0.08,-1677780,6222.512138920868,nan,-,-,-,-
5,0.1,-1677523,4937.290980918512,nan,-,-,-,-
6,0.12,-1681106,3536.637138061741,nan,-,-,-,-
7,0.14,-1680932,1775.4774524250824,nan,-,-,-,-
8,0.16,-1683615,442.3182295155584,nan,-,-,-,-
9,0.18,-1684559,-647.153051344666,nan,-,-,-,-
10,0.2,-1687210,-1191.0426354725823,nan,-,-,-,-
11,0.22,-1689190,-1439.2013667477204,nan,-,-,-,-
12,0.24,-1690964,-1483.4520738163037,nan,-,-,-,-
13,0.26,-1693396,-1395.4719229587517,nan,-,-,-,-
14,0.28,-1695015,-1395.0107168900113,nan,-,-,-,-
15,0.3,-1698067,-1365.6313987498197,nan,-,-,-,-
16,0.32,-1698889,-1589.4709376720884,nan,-,-,-,-
17,0.34,-1699359,-1886.153510839515,nan,-,-,-,-
18,0.36,-1689636,-2944.167073345149,nan,-,-,-,-
19,0.38,-1679737,-3909.0297268482063,nan,-,-,-,-
20,0.4,-1671700,-4529.650977405858,nan,-,-,-,-
21,0.42,-1668631,-4483.811057168827,nan,-,-,-,-
22,0.44,-1667726,-3923.406879151651,nan,-,-,-,-
23,0.46,-1667495,-2931.0485466204627,nan,-,-,-,-
24,0.48,-1670128,-1359.583032928489,nan,-,-,-,-
25,0.5,-1672036,420.1146098016843,nan,-,-,-,-
26,0.52,-1676700,2487.722339372196,nan,-,-,-,-
27,0.54,-1677844,4100.01263059805,nan,-,-,-,-
28,0.56,-1679514,5282.1358965664695,nan,-,-,-,-
29,0.58,-1680540,5719.746440479208,nan,-,-,-,-
30,0.6,-1680972,5334.205407072223,nan,-,-,-,-
31,0.62,-1684083,4472.826371000712,nan,-,-,-,-
32,0.64,-1683430,2890.162962932425,nan,-,-,-,-
33,0.66,-1686688,1487.0899684387514,nan,-,-,-,-
34,0.68,-1686330,-29.259323418516033,nan,-,-,-,-
35,0.7,-1689363,-938.1523209996176,nan,-,-,-,-
36,0.72,-1690079,-1614.3701671633244,nan,-,-,-,-
37,0.74,-1692698,-1781.2717668540126,nan,-,-,-,-
38,0.76,-1693970,-1801.410395722619,nan,-,-,-,-
39,0.78,-1697402,-1539.9166642429964,nan,-,-,-,-
40,0.8,-1700352,-1312.5030899139992,nan,-,-,-,-
41,0.82,-1702969,-1177.828099185338,nan,-,-,-,-
42,0.84,-1702372,-1377.8752402904547,nan,-,-,-,-
