muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
1,0.04,-16775600,12.561559719510463,nan,-,-,-,-,-,"[50, 20, 15]",-
2,0.08,-16775564,-5.239055003047003,nan,-,-,-,-,-,"[50, 20, 15]",-
3,0.12,-16775494,-34.02783164726716,nan,-,-,-,-,-,"[50, 20, 15]",-
4,0.16,-16775454,-49.44764613202668,nan,-,-,-,-,-,"[50, 20, 15]",-
5,0.2,-16775502,-43.60779740745177,nan,-,-,-,-,-,"[50, 20, 15]",-
6,0.24,-16775565,6.775744314606483,nan,-,-,-,-,-,"[50, 20, 15]",-
7,0.28,-16775510,-7.443775102987791,nan,-,-,-,-,-,"[50, 20, 15]",-
8,0.32,-16775472,-32.82007887586116,nan,-,-,-,-,-,"[50, 20, 15]",-
9,0.36,-16775527,-17.761548694067045,nan,-,-,-,-,-,"[50, 20, 15]",-
10,0.4,-16775454,-45.8667375658849,nan,-,-,-,-,-,"[50, 20, 15]",-
11,0.44,-16775439,-58.63895334968517,nan,-,-,-,-,-,"[50, 20, 15]",-
12,0.48,-16775511,-19.789263201110096,nan,-,-,-,-,-,"[50, 20, 15]",-
13,0.52,-16775498,-35.429317066795555,nan,-,-,-,-,-,"[50, 20, 15]",-
14,0.56,-16775458,-24.836207951028264,nan,-,-,-,-,-,"[50, 20, 15]",-
15,0.6,-16775561,33.272553913103046,nan,-,-,-,-,-,"[50, 20, 15]",-
16,0.64,-16775548,54.044316103781185,nan,-,-,-,-,-,"[50, 20, 15]",-
17,0.68,-16775550,27.920816634787656,nan,-,-,-,-,-,"[50, 20, 15]",-
18,0.72,-16775490,-24.70245861477543,nan,-,-,-,-,-,"[50, 20, 15]",-
19,0.76,-16775452,-6.383428944277575,nan,-,-,-,-,-,"[50, 20, 15]",-
20,0.8,-16775428,-1.434121745360851,nan,-,-,-,-,-,"[50, 20, 15]",-
21,0.84,-16775606,24.898421904540523,nan,-,-,-,-,-,"[50, 20, 15]",-
22,0.88,-16775453,22.677721430796854,nan,-,-,-,-,-,"[50, 20, 15]",-
23,0.92,-16775420,14.4692813092045,nan,-,-,-,-,-,"[50, 20, 15]",-
24,0.96,-16775447,-15.89058833509154,nan,-,-,-,-,-,"[50, 20, 15]",-
25,1.0,-16775512,8.175717241716812,nan,-,-,-,-,-,"[50, 20, 15]",-
26,1.04,-16775505,29.044745684145983,nan,-,-,-,-,-,"[50, 20, 15]",-
27,1.08,-16775480,-27.86900657325452,nan,-,-,-,-,-,"[50, 20, 15]",-
28,1.12,-16775530,-13.285993076269104,nan,-,-,-,-,-,"[50, 20, 15]",-
29,1.16,-16775538,-12.49682245120254,nan,-,-,-,-,-,"[50, 20, 15]",-
30,1.2,-16775442,-3.139858914445928,nan,-,-,-,-,-,"[50, 20, 15]",-
31,1.24,-16775589,48.93186459144329,nan,-,-,-,-,-,"[50, 20, 15]",-
32,1.28,-16775459,28.157751309953817,nan,-,-,-,-,-,"[50, 20, 15]",-
33,1.32,-16775470,-60.549357906564694,nan,-,-,-,-,-,"[50, 20, 15]",-
34,1.36,-16775565,37.67582288375315,nan,-,-,-,-,-,"[50, 20, 15]",-
35,1.4,-16775539,52.16229671016217,nan,-,-,-,-,-,"[50, 20, 15]",-
36,1.44,-16775573,44.64768170481607,nan,-,-,-,-,-,"[50, 20, 15]",-
37,1.48,-16775505,-3.8481498221781028,nan,-,-,-,-,-,"[50, 20, 15]",-
38,1.52,-16775437,-23.78270420832011,nan,-,-,-,-,-,"[50, 20, 15]",-
39,1.56,-16775488,1.0319518412375455,nan,-,-,-,-,-,"[50, 20, 15]",-
40,1.6,-16775489,-15.765545774848277,nan,-,-,-,-,-,"[50, 20, 15]",-
41,1.64,-16775489,-19.51203773590404,nan,-,-,-,-,-,"[50, 20, 15]",-
42,1.68,-16775584,-16.309109238807537,nan,-,-,-,-,-,"[50, 20, 15]",-
43,1.72,-16775548,11.902421742700229,nan,-,-,-,-,-,"[50, 20, 15]",-
44,1.76,-16775503,24.91925468172388,nan,-,-,-,-,-,"[50, 20, 15]",-
45,1.8,-16775449,5.818896957562497,nan,-,-,-,-,-,"[50, 20, 15]",-
46,1.84,-16775428,-41.88978702278482,nan,-,-,-,-,-,"[50, 20, 15]",-
47,1.88,-16775426,-32.17721718385587,nan,-,-,-,-,-,"[50, 20, 15]",-
48,1.92,-16775489,-29.034158451101845,nan,-,-,-,-,-,"[50, 20, 15]",-
49,1.96,-16775522,8.765831414031183,nan,-,-,-,-,-,"[50, 20, 15]",-
50,2.0,-16775454,33.81047262641988,nan,-,-,-,-,-,"[50, 20, 15]",-
51,2.04,-16775497,17.2413302822819,nan,-,-,-,-,-,"[50, 20, 15]",-
52,2.08,-16775598,35.94561809477666,nan,-,-,-,-,-,"[50, 20, 15]",-
53,2.12,-16775505,15.491045056375839,nan,-,-,-,-,-,"[50, 20, 15]",-
54,2.16,-16775475,-41.24408681806899,nan,-,-,-,-,-,"[50, 20, 15]",-
55,2.2,-16775529,-5.285363037078485,nan,-,-,-,-,-,"[50, 20, 15]",-
56,2.24,-16775543,13.1226261271102,nan,-,-,-,-,-,"[50, 20, 15]",-
57,2.28,-16775543,38.500617091053385,nan,-,-,-,-,-,"[50, 20, 15]",-
58,2.32,-16775510,39.394154592559936,nan,-,-,-,-,-,"[50, 20, 15]",-
59,2.36,-16775373,-20.41734706631121,nan,-,-,-,-,-,"[50, 20, 15]",-
60,2.4,-16775509,6.186885260012431,nan,-,-,-,-,-,"[50, 20, 15]",-
61,2.44,-16775502,0.2017257785873108,nan,-,-,-,-,-,"[50, 20, 15]",-
62,2.48,-16775513,-12.24695405149214,nan,-,-,-,-,-,"[50, 20, 15]",-
63,2.52,-16775461,-9.34802752405272,nan,-,-,-,-,-,"[50, 20, 15]",-
64,2.56,-16775602,-20.70923594128981,nan,-,-,-,-,-,"[50, 20, 15]",-
65,2.6,-16775547,7.435425922157969,nan,-,-,-,-,-,"[50, 20, 15]",-
66,2.64,-16775456,-0.8045903306347553,nan,-,-,-,-,-,"[50, 20, 15]",-
67,2.68,-16775507,3.6354992031164945,nan,-,-,-,-,-,"[50, 20, 15]",-
68,2.72,-16775551,9.834055495627561,nan,-,-,-,-,-,"[50, 20, 15]",-
69,2.76,-16775532,12.493623550820383,nan,-,-,-,-,-,"[50, 20, 15]",-
70,2.8,-16775490,-1.4828905749012216,nan,-,-,-,-,-,"[50, 20, 15]",-
71,2.84,-16775535,-12.08126079222754,nan,-,-,-,-,-,"[50, 20, 15]",-
72,2.88,-16775503,-12.625370476634428,nan,-,-,-,-,-,"[50, 20, 15]",-
73,2.92,-16775571,-0.6345704229244631,nan,-,-,-,-,-,"[50, 20, 15]",-
74,2.96,-16775482,-0.11485340767771568,nan,-,-,-,-,-,"[50, 20, 15]",-
76,3.04,-16775500,-56.19988252122545,nan,-,-,-,-,-,"[50, 20, 15]",-
77,3.08,-16775529,13.539413640562417,nan,-,-,-,-,-,"[50, 20, 15]",-
78,3.12,-16775468,-20.544083238526444,nan,-,-,-,-,-,"[50, 20, 15]",-
79,3.16,-16775592,3.8940314229347175,nan,-,-,-,-,-,"[50, 20, 15]",-
80,3.2,-16775555,14.960988904830803,nan,-,-,-,-,-,"[50, 20, 15]",-
81,3.24,-16775518,8.103391472742718,nan,-,-,-,-,-,"[50, 20, 15]",-
82,3.28,-16775545,-1.578553036614906,nan,-,-,-,-,-,"[50, 20, 15]",-
83,3.32,-16775413,-35.22331470584656,nan,-,-,-,-,-,"[50, 20, 15]",-
84,3.36,-16775449,-7.078795377180311,nan,-,-,-,-,-,"[50, 20, 15]",-
85,3.4,-16775530,23.674305130029317,nan,-,-,-,-,-,"[50, 20, 15]",-
86,3.44,-16775560,-3.6041076736786657,nan,-,-,-,-,-,"[50, 20, 15]",-
87,3.48,-16775514,-6.498008011221326,nan,-,-,-,-,-,"[50, 20, 15]",-
88,3.52,-16775583,0.1837066905928748,nan,-,-,-,-,-,"[50, 20, 15]",-
89,3.56,-16775511,1.5362876252752202,nan,-,-,-,-,-,"[50, 20, 15]",-
90,3.6,-16775553,-2.505456941800967,nan,-,-,-,-,-,"[50, 20, 15]",-
91,3.64,-16775512,7.163401509580289,nan,-,-,-,-,-,"[50, 20, 15]",-
92,3.68,-16775507,3.2185605936235833,nan,-,-,-,-,-,"[50, 20, 15]",-
93,3.72,-16775608,-0.01014269228851905,nan,-,-,-,-,-,"[50, 20, 15]",-
94,3.76,-16775581,1.5267888799616571,nan,-,-,-,-,-,"[50, 20, 15]",-
95,3.8,-16775436,-10.818961161974478,nan,-,-,-,-,-,"[50, 20, 15]",-
96,3.84,-16775470,-6.654419920484264,nan,-,-,-,-,-,"[50, 20, 15]",-
97,3.88,-16775551,3.98945042115968,nan,-,-,-,-,-,"[50, 20, 15]",-
98,3.92,-16775558,4.024551874778887,nan,-,-,-,-,-,"[50, 20, 15]",-
99,3.96,-16775516,0.28817144868928946,nan,-,-,-,-,-,"[50, 20, 15]",-
100,4.0,-16775439,-56.6838597891813,nan,-,-,-,-,-,"[50, 20, 15]",-
101,4.04,-16775562,0.17156211774986385,nan,-,-,-,-,-,"[50, 20, 15]",-
102,4.08,-16775481,3.0138073536395584,nan,-,-,-,-,-,"[50, 20, 15]",-
103,4.12,-16775569,0.23420506659725326,nan,-,-,-,-,-,"[50, 20, 15]",-
104,4.16,-16775509,-0.3399584437648301,nan,-,-,-,-,-,"[50, 20, 15]",-
105,4.2,-16775514,7.239625688775336,nan,-,-,-,-,-,"[50, 20, 15]",-
106,4.24,-16775520,3.7647152829049837,nan,-,-,-,-,-,"[50, 20, 15]",-
107,4.28,-16775550,-8.063483984844192,nan,-,-,-,-,-,"[50, 20, 15]",-
108,4.32,-16775541,-4.786746171672904,nan,-,-,-,-,-,"[50, 20, 15]",-
109,4.36,-16775524,1.757730541909039,nan,-,-,-,-,-,"[50, 20, 15]",-
110,4.4,-16775453,-41.98415749892696,nan,-,-,-,-,-,"[50, 20, 15]",-
111,4.44,-16775494,-2.001421963332736,nan,-,-,-,-,-,"[50, 20, 15]",-
112,4.48,-16775473,-7.575052155044066,nan,-,-,-,-,-,"[50, 20, 15]",-
113,4.52,-16775482,7.78872894220554,nan,-,-,-,-,-,"[50, 20, 15]",-
114,4.56,-16775540,-10.648457614338465,nan,-,-,-,-,-,"[50, 20, 15]",-
115,4.6,-16775528,15.9801619565843,nan,-,-,-,-,-,"[50, 20, 15]",-
116,4.64,-16775606,6.699588167962222,nan,-,-,-,-,-,"[50, 20, 15]",-
117,4.68,-16775517,-0.44544702899635424,nan,-,-,-,-,-,"[50, 20, 15]",-
118,4.72,-16775446,-5.073843844019535,nan,-,-,-,-,-,"[50, 20, 15]",-
119,4.76,-16775485,9.801367947597921,nan,-,-,-,-,-,"[50, 20, 15]",-
120,4.8,-16775529,-3.1112621497220236,nan,-,-,-,-,-,"[50, 20, 15]",-
121,4.84,-16775547,3.779125562106659,nan,-,-,-,-,-,"[50, 20, 15]",-
122,4.88,-16775566,-5.9001876873472,nan,-,-,-,-,-,"[50, 20, 15]",-
123,4.92,-16775512,-2.7317154319489805,nan,-,-,-,-,-,"[50, 20, 15]",-
124,4.96,-16775529,-14.284918950232276,nan,-,-,-,-,-,"[50, 20, 15]",-
125,5.0,-16775516,-2.3805598161059973,nan,-,-,-,-,-,"[50, 20, 15]",-
126,5.04,-16775470,-25.454954061310154,nan,-,-,-,-,-,"[50, 20, 15]",-
