muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
97,3.88,-1215374,-80.08162930670096,58,-,-,-,-,-
98,3.92,-1214800,580.5722358775529,58,-,-,-,-,-
99,3.96,-1214901,1214.14111763852,58,-,-,-,-,-
100,4.0,-1216218,1913.2649604681528,58,-,basal,-,-,-
101,4.04,-1220669,2693.8644058212167,58,-,basal,-,-,-
102,4.08,-1223183,3040.9881746930378,58,-,basal,-,-,-
103,4.12,-1223903,2481.0928556978997,58,-,basal,-,-,-
104,4.16,-1225970,1028.289060240901,58,-,basal,-,-,-
105,4.2,-1227028,-771.2452346723217,58,-,basal,-,-,-
106,4.24,-1227500,-1976.5872032629297,58,-,basal,-,-,-
107,4.28,-1227814,-2136.6512074320135,58,-,basal,-,-,-
108,4.32,-1228018,-1614.084563786958,58,-,basal,-,-,-
109,4.36,-1221534,-1318.8121751226872,58,-,basal,-,-,-
110,4.4,-1207030,-1640.0625849853986,58,-,basal,-,-,-
111,4.44,-1202080,-1795.7272590257217,58,-,basal,-,-,-
112,4.48,-1204987,-1448.9979967522768,58,-,basal,-,-,-
113,4.52,-1209476,-706.2010116753304,58,-,basal,-,-,-
114,4.56,-1214074,156.5608130763112,58,-,basal,-,-,-
115,4.6,-1215116,789.9772212525731,58,-,basal,-,-,-
116,4.64,-1213755,1219.081533981559,58,-,basal,-,-,-
117,4.68,-1216129,1790.6879686266502,58,-,basal,-,-,-
118,4.72,-1220338,2520.3125161467306,58,-,basal,-,-,-
119,4.76,-1223517,3063.607420690455,58,-,basal,-,-,-
120,4.8,-1224923,2827.5515993689323,58,-,basal,-,-,-
121,4.84,-1227462,1559.1385137192592,58,-,basal,-,-,-
122,4.88,-1228041,-372.5268481615119,58,-,basal,-,-,-
123,4.92,-1227091,-1904.319282658249,58,-,basal,-,-,-
124,4.96,-1227166,-2291.4601026567066,58,-,basal,-,-,-
125,5.0,-1216891,-2169.728483910243,58,-,basal,-,-,-
126,5.04,-1205633,-1987.1379214463814,58,-,basal,-,-,-
127,5.08,-1203149,-1850.539758708279,58,-,basal,-,-,-
128,5.12,-1205124,-1711.8143099581466,58,-,basal,-,-,-
129,5.16,-1211478,-1177.344375312512,58,-,basal,-,-,-
130,5.2,-1215322,-362.82059036443843,58,-,basal,-,-,-
131,5.24,-1214554,443.7302626864548,58,-,basal,-,-,-
132,5.28,-1213907,1187.5458338001367,58,-,basal,-,-,-
133,5.32,-1216593,1963.1703428908386,58,-,basal,-,-,-
134,5.36,-1219964,2685.679849269506,58,-,basal,-,-,-
135,5.4,-1222028,3019.7198714421156,58,-,basal,-,-,-
136,5.44,-1224639,2552.5763386217022,58,-,basal,-,-,-
137,5.48,-1225744,1088.7905342723584,58,-,basal,-,-,-
138,5.52,-1226336,-720.0103950457176,58,-,basal,-,-,-
139,5.56,-1228244,-1849.5888175025877,58,-,basal,-,-,-
140,5.6,-1227098,-1999.0785023058538,58,-,basal,-,-,-
141,5.64,-1226977,-1458.3566429451066,58,-,basal,-,-,-
142,5.68,-1221627,-1174.5841571324736,58,-,basal,-,-,-
143,5.72,-1207086,-1589.3912921071988,58,-,basal,-,-,-
144,5.76,-1203847,-1761.0447008620395,58,-,basal,-,-,-
145,5.8,-1205529,-1487.5503037546623,58,-,basal,-,-,-
146,5.84,-1209175,-787.2334124589761,58,-,basal,-,-,-
147,5.88,-1214689,108.77498138639021,58,-,basal,-,-,-
148,5.92,-1214667,733.2468312053561,58,-,basal,-,-,-
149,5.96,-1214479,1226.2851601262,58,-,basal,-,-,-
150,6.0,-1217343,1813.1216116617588,57,57.5,basal,-,-,-
151,6.04,-1223852,2568.9432825912318,57,-,basal,-,-,-
152,6.08,-1227547,3044.3930735723116,57,-,basal,-,-,-
153,6.12,-1228837,2747.225471939557,57,-,basal,-,-,-
154,6.16,-1227434,1386.6657291406443,57,-,basal,-,-,-
155,6.2,-1226299,-497.00568020333935,57,-,basal,-,-,-
156,6.24,-1212965,-2345.649672670377,57,-,basal,-,-,-
157,6.28,-1203840,-3012.8836526326104,57,-,basal,-,-,-
158,6.32,-1203315,-2581.884387291924,57,-,basal,-,-,-
159,6.36,-1206700,-1887.4751137694811,57,-,basal,-,-,-
160,6.4,-1211347,-1408.9595166661247,57,-,basal,-,-,-
161,6.44,-1214417,-1042.3549316262515,57,-,basal,-,-,-
162,6.48,-1214521,-424.7477829081363,57,-,basal,-,-,-
163,6.52,-1213681,607.6270876027143,57,-,basal,-,-,-
164,6.56,-1217322,1933.7620759501733,57,-,basal,-,-,-
165,6.6,-1220460,2946.9326930701736,57,-,basal,-,-,-
166,6.64,-1223590,3216.37622650289,57,-,basal,-,-,-
167,6.68,-1224395,2369.553323324089,57,-,basal,-,-,-
168,6.72,-1225343,690.4173407360754,57,-,basal,-,-,-
169,6.76,-1226455,-1003.5248663924605,57,-,basal,-,-,-
170,6.8,-1228134,-1852.6576908740296,57,-,basal,-,-,-
171,6.84,-1228341,-1765.9322864222524,57,-,basal,-,-,-
172,6.88,-1227658,-1275.452064765354,57,-,basal,-,-,-
173,6.92,-1223559,-1088.3335958258167,57,-,basal,-,-,-
174,6.96,-1209301,-1561.812405431121,57,-,basal,-,-,-
175,7.0,-1203328,-1770.5497144022247,57,-,basal,-,-,-
176,7.04,-1204489,-1409.7081521268283,57,-,basal,-,-,-
177,7.08,-1208012,-647.9790466862382,57,-,basal,-,-,-
178,7.12,-1213352,213.8851088876454,57,-,basal,-,-,-
179,7.16,-1215534,804.9987666867346,57,-,basal,-,-,-
180,7.2,-1215314,1194.7802437321798,57,-,basal,-,-,-
181,7.24,-1216543,1696.6535007866369,57,-,basal,-,-,-
182,7.28,-1220663,2429.2577996119617,57,-,basal,-,-,-
183,7.32,-1222632,2975.0654324950547,57,-,basal,-,-,-
184,7.36,-1224751,2873.349825545629,57,-,basal,-,-,-
185,7.4,-1226107,1732.515341365715,57,-,basal,-,-,-
186,7.44,-1227742,-79.36774955167039,57,-,basal,-,-,-
187,7.48,-1228302,-1676.8793720818903,57,-,basal,-,-,-
188,7.52,-1227604,-2337.958723075153,57,-,basal,-,-,-
189,7.56,-1221456,-2262.5517429181755,57,-,basal,-,-,-
190,7.6,-1207451,-2142.892843455913,57,-,basal,-,-,-
191,7.64,-1202954,-1906.3112016660161,57,-,basal,-,-,-
192,7.68,-1205390,-1623.6029262060383,57,-,basal,-,-,-
193,7.72,-1209766,-1163.1264099989519,57,-,basal,-,-,-
194,7.76,-1213920,-455.6635638630878,57,-,basal,-,-,-
195,7.8,-1214987,274.73459174118307,57,-,basal,-,-,-
196,7.84,-1213881,906.8491321216288,57,-,basal,-,-,-
197,7.88,-1216727,1661.023744772262,57,-,basal,-,-,-
198,7.92,-1219327,2443.8836765106653,57,-,basal,-,-,-
199,7.96,-1221098,2985.6746533698433,57,-,basal,-,-,-
200,8.0,-1224021,2815.6698359091943,57,-,basal,-,-,-
201,8.04,-1224986,1545.1640403285696,57,-,basal,-,-,-
202,8.08,-1226441,-263.5988506913818,57,-,basal,-,-,-
203,8.12,-1227269,-1652.059362429354,57,-,basal,-,-,-
204,8.16,-1227851,-2005.1338086036287,57,-,basal,-,-,-
205,8.2,-1228666,-1576.818781241872,57,-,basal,-,-,-
206,8.24,-1224239,-1243.7795192284611,57,-,basal,-,-,-
207,8.28,-1212826,-1454.1653327222302,57,-,basal,-,-,-
208,8.32,-1204544,-1730.0920892348222,57,-,basal,-,-,-
209,8.36,-1203885,-1583.0540123563187,57,-,basal,-,-,-
210,8.4,-1207088,-1007.2230551382545,57,-,basal,-,-,-
211,8.44,-1210708,-250.698002945795,57,-,basal,-,-,-
212,8.48,-1215456,515.087295306781,57,-,basal,-,-,-
213,8.52,-1213849,977.7237438653474,57,-,basal,-,-,-
214,8.56,-1215417,1526.0671130034943,57,-,basal,-,-,-
215,8.6,-1218664,2215.8508975744926,57,-,basal,-,-,-
216,8.64,-1221306,2843.420735648868,57,-,basal,-,-,-
217,8.68,-1223475,2951.4690547118207,57,-,basal,-,-,-
218,8.72,-1225743,2119.7849307605984,57,-,basal,-,-,-
219,8.76,-1226030,431.8526163193187,57,-,basal,-,-,-
220,8.8,-1227443,-1211.3941305787648,57,-,basal,-,-,-
221,8.84,-1228747,-2058.539955076089,57,-,basal,-,-,-
222,8.88,-1226577,-2091.061853895998,57,-,basal,-,-,-
223,8.92,-1216910,-1930.3981554266047,57,-,basal,-,-,-
224,8.96,-1205922,-1912.369344356468,57,-,basal,-,-,-
225,9.0,-1203418,-1831.111645384879,55,56.666666666666664,basal,-,-,-
226,9.04,-1210942,-1379.3727739200624,55,-,basal,-,-,-
227,9.08,-1214938,-777.4026478185574,55,-,basal,-,-,-
228,9.12,-1215927,-80.97172422596304,55,-,basal,-,-,-
229,9.16,-1214288,514.8445594523891,55,-,basal,-,-,-
230,9.2,-1216891,1162.507280891452,55,-,basal,-,-,-
231,9.24,-1218960,1822.859671375154,55,-,basal,-,-,-
232,9.28,-1221823,2546.4513344077504,55,-,basal,-,-,-
233,9.32,-1224192,2904.1336884032444,55,-,basal,-,-,-
234,9.36,-1224835,2289.532863283673,55,-,basal,-,-,-
235,9.4,-1226542,748.8783445646077,55,-,basal,-,-,-
236,9.44,-1227504,-959.8777259055342,55,-,basal,-,-,-
237,9.48,-1228812,-1800.729062680331,55,-,basal,-,-,-
238,9.52,-1227246,-1683.986086662333,55,-,basal,-,-,-
239,9.56,-1223523,-1268.2328626788421,55,-,basal,-,-,-
240,9.6,-1209995,-1461.0136379089363,55,-,basal,-,-,-
241,9.64,-1204861,-1671.4215198930979,55,-,basal,-,-,-
242,9.68,-1203948,-1618.2921272170906,55,-,basal,-,-,-
243,9.72,-1208047,-1049.5226283332981,55,-,basal,-,-,-
244,9.76,-1212470,-254.73652276872053,55,-,basal,-,-,-
245,9.8,-1215732,471.32747347791883,55,-,basal,-,-,-
246,9.84,-1215052,965.9468340628164,55,-,basal,-,-,-
247,9.88,-1214636,1482.812220631019,55,-,basal,-,-,-
248,9.92,-1219754,2270.4103125879838,55,-,basal,-,-,-
249,9.96,-1221752,2836.585397778068,55,-,basal,-,-,-
250,10.0,-1223617,2783.5548794205224,55,-,basal,-,-,-
251,10.04,-1225415,1768.1459624479903,55,-,basal,-,-,-
252,10.08,-1227039,77.35139086278059,55,-,basal,-,-,-
253,10.12,-1227698,-1468.1854342724375,55,-,basal,-,-,-
254,10.16,-1228442,-2126.335824862932,55,-,basal,-,-,-
255,10.2,-1226871,-1969.2593554242462,55,-,basal,-,-,-
256,10.24,-1216505,-1767.9992240742922,55,-,basal,-,-,-
257,10.28,-1204097,-1828.3881124057825,55,-,basal,-,-,-
258,10.32,-1203217,-1753.8173670983651,55,-,basal,-,-,-
259,10.36,-1206708,-1449.42013645025,55,-,basal,-,-,-
260,10.4,-1212547,-761.7489065879245,55,-,basal,-,-,-
261,10.44,-1215081,10.758344712701728,55,-,basal,-,-,-
262,10.48,-1214865,661.2530929818795,55,-,basal,-,-,-
263,10.52,-1214753,1241.1775926913674,55,-,basal,-,-,-
264,10.56,-1218360,1986.1795871566874,55,-,basal,-,-,-
265,10.6,-1220441,2710.213754693992,55,-,basal,-,-,-
266,10.64,-1223428,3091.546439859004,55,-,basal,-,-,-
267,10.68,-1224861,2487.8938957319206,55,-,basal,-,-,-
268,10.72,-1226941,904.7310758605258,55,-,basal,-,-,-
269,10.76,-1227613,-947.8259531949141,55,-,basal,-,-,-
