muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
97,3.88,-1244414,-4502.61169544372,nan,-,-,-,-,-
98,3.92,-1246170,-3257.251931606338,nan,-,-,-,-,-
99,3.96,-1249863,-1644.4251250643542,nan,-,-,-,-,-
100,4.0,-1253345,-46.34914242694413,nan,-,-,-,-,-
101,4.04,-1251017,1447.4383000008584,nan,-,-,-,-,-
102,4.08,-1251417,3453.6349389226034,nan,-,-,-,-,-
103,4.12,-1256707,5870.897145030271,nan,-,-,-,-,-
104,4.16,-1263881,7346.522640069654,nan,-,-,-,-,-
105,4.2,-1270827,6349.028101482512,nan,-,-,-,-,-
106,4.24,-1277950,3070.9334672809728,nan,-,-,-,-,-
107,4.28,-1283722,-441.848820627034,nan,-,-,-,-,-
108,4.32,-1290187,-2196.4649241184734,nan,-,-,-,-,-
109,4.36,-1295596,-2191.452065913534,nan,-,-,-,-,-
110,4.4,-1300593,-1594.8907787051842,nan,-,-,-,-,-
111,4.44,-1305951,-1350.4515596468088,nan,-,-,-,-,-
112,4.48,-1311707,-1681.4823738383948,nan,-,-,-,-,-
113,4.52,-1290975,-3140.085289860326,nan,-,-,-,-,-
114,4.56,-1249391,-5004.373184751996,nan,-,-,-,-,-
115,4.6,-1242424,-5072.915786773694,nan,-,-,-,-,-
116,4.64,-1245910,-4080.038993734306,nan,-,-,-,-,-
117,4.68,-1247556,-2689.955177190047,nan,-,-,-,-,-
118,4.72,-1247229,-1225.0110979630426,nan,-,-,-,-,-
119,4.76,-1251300,342.5236734172431,nan,-,-,-,-,-
120,4.8,-1253271,1898.7356089803561,nan,-,-,-,-,-
121,4.84,-1253226,3800.7163495011464,nan,-,-,-,-,-
122,4.88,-1258246,6407.734079220996,nan,-,-,-,-,-
123,4.92,-1266111,8763.72923420545,nan,-,-,-,-,-
124,4.96,-1275258,9040.86252257488,nan,-,-,-,-,-
125,5.0,-1283202,6242.4549978599025,nan,-,-,-,-,-
126,5.04,-1289313,1771.3329232636297,nan,-,-,-,-,-
127,5.08,-1295494,-1729.973544423363,nan,-,-,-,-,-
128,5.12,-1300742,-3100.9926089221244,nan,-,-,-,-,-
129,5.16,-1306452,-3091.4799152815085,nan,-,-,-,-,-
130,5.2,-1312935,-2938.80675370893,nan,-,-,-,-,-
131,5.24,-1319440,-3167.2355112313953,nan,-,-,-,-,-
132,5.28,-1290412,-4722.85838207115,nan,-,-,-,-,-
133,5.32,-1252391,-6306.157196945183,nan,-,-,-,-,-
134,5.36,-1250691,-6052.1438357659645,nan,-,-,-,-,-
135,5.4,-1255456,-4791.765606161829,nan,-,-,-,-,-
136,5.44,-1257766,-3061.5797921638678,nan,-,-,-,-,-
137,5.48,-1258585,-1274.1427645052984,nan,-,-,-,-,-
138,5.52,-1263627,461.9707029669471,nan,-,-,-,-,-
139,5.56,-1264490,2024.4299093945829,nan,-,-,-,-,-
140,5.6,-1264134,4008.0107723475267,nan,-,-,-,-,-
141,5.64,-1268345,6724.831373043287,nan,-,-,-,-,-
142,5.68,-1274867,8986.340630368519,nan,-,-,-,-,-
143,5.72,-1281841,8812.518510745367,nan,-,-,-,-,-
144,5.76,-1289138,5553.787709673848,nan,-,-,-,-,-
145,5.8,-1296160,1056.7636304180778,nan,-,-,-,-,-
146,5.84,-1302683,-2034.2268680531124,nan,-,-,-,-,-
147,5.88,-1308504,-2868.284485792976,nan,-,-,-,-,-
148,5.92,-1313735,-2522.8789762495717,nan,-,-,-,-,-
149,5.96,-1319335,-2228.128592362311,nan,-,-,-,-,-
151,6.04,-1324679,-3035.617564341601,nan,-,-,-,-,-
152,6.08,-1270189,-5273.362231134808,nan,-,-,-,-,-
153,6.12,-1262826,-5497.903192130609,nan,-,-,-,-,-
154,6.16,-1269897,-4609.128720252196,nan,-,-,-,-,-
155,6.2,-1274083,-3281.5955673465287,nan,-,-,-,-,-
156,6.24,-1278411,-1683.870579783547,nan,-,-,-,-,-
157,6.28,-1282016,-115.644933646965,nan,-,-,-,-,-
158,6.32,-1279039,1162.6702580851397,nan,-,-,-,-,-
159,6.36,-1278634,2750.1960358870474,nan,-,-,-,-,-
160,6.4,-1283607,5123.842199318235,nan,-,-,-,-,-
161,6.44,-1290773,7719.444806150799,nan,-,-,-,-,-
162,6.48,-1297785,8714.527162482089,nan,-,-,-,-,-
163,6.52,-1305249,6595.086964007114,nan,-,-,-,-,-
164,6.56,-1312607,2219.530523865611,nan,-,-,-,-,-
165,6.6,-1318901,-1571.3449450553398,nan,-,-,-,-,-
166,6.64,-1324269,-2876.0784490345104,nan,-,-,-,-,-
167,6.68,-1329775,-2299.8098666257165,nan,-,-,-,-,-
168,6.72,-1329119,-1803.7177256005155,nan,-,-,-,-,-
169,6.76,-1280093,-3675.429742231441,nan,-,-,-,-,-
170,6.8,-1265288,-4954.2272752878125,nan,-,-,-,-,-
171,6.84,-1268781,-5312.382700695431,nan,-,-,-,-,-
172,6.88,-1274262,-4726.956991803949,nan,-,-,-,-,-
173,6.92,-1277166,-3409.4931661450837,nan,-,-,-,-,-
174,6.96,-1280973,-1679.1579563864752,nan,-,-,-,-,-
175,7.0,-1285459,160.1642677152322,nan,-,-,-,-,-
176,7.04,-1283967,2032.2506096371544,nan,-,-,-,-,-
177,7.08,-1283143,4444.86896759872,nan,-,-,-,-,-
178,7.12,-1287287,7128.322588159797,nan,-,-,-,-,-
179,7.16,-1294486,8435.529610262,nan,-,-,-,-,-
180,7.2,-1302337,6754.174755123317,nan,-,-,-,-,-
181,7.24,-1309956,2634.8779126758654,nan,-,-,-,-,-
182,7.28,-1317325,-1308.3564922101032,nan,-,-,-,-,-
183,7.32,-1324739,-3021.936076820244,nan,-,-,-,-,-
184,7.36,-1330917,-2761.649175710867,nan,-,-,-,-,-
185,7.4,-1337085,-1923.8105552097254,nan,-,-,-,-,-
186,7.44,-1343082,-1517.1801967090614,nan,-,-,-,-,-
187,7.48,-1292760,-3505.7335802535745,nan,-,-,-,-,-
188,7.52,-1268361,-4916.395222728424,nan,-,-,-,-,-
189,7.56,-1272828,-5126.410438244839,nan,-,-,-,-,-
190,7.6,-1277330,-4623.749541522155,nan,-,-,-,-,-
191,7.64,-1278882,-3437.982172269196,nan,-,-,-,-,-
192,7.68,-1283092,-1714.571256746649,nan,-,-,-,-,-
193,7.72,-1285840,81.41386159440844,nan,-,-,-,-,-
194,7.76,-1284560,1957.399795411833,nan,-,-,-,-,-
195,7.8,-1286149,4523.085019779779,nan,-,-,-,-,-
196,7.84,-1291299,7574.9811739056,nan,-,-,-,-,-
197,7.88,-1298382,9463.854699711304,nan,-,-,-,-,-
198,7.92,-1306152,8232.866125796485,nan,-,-,-,-,-
199,7.96,-1314066,4024.0446653611707,nan,-,-,-,-,-
200,8.0,-1320927,-523.4863512194424,nan,-,-,-,-,-
201,8.04,-1327422,-2877.459895994476,nan,-,-,-,-,-
202,8.08,-1333298,-2967.1433063944905,nan,-,-,-,-,-
203,8.12,-1338544,-2324.0119215872032,nan,-,-,-,-,-
204,8.16,-1343802,-2104.5891036740463,nan,-,-,-,-,-
205,8.2,-1335096,-2920.9891756433626,nan,-,-,-,-,-
206,8.24,-1282748,-5289.0685743247595,nan,-,-,-,-,-
207,8.28,-1273287,-5880.435734914652,nan,-,-,-,-,-
208,8.32,-1278284,-5265.332254487039,nan,-,-,-,-,-
