muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
69,2.76,-16775538,-10.019129319500745,nan,-,-,-,-,-,"[50, 20, 15]",-
70,2.8,-16775548,-11.506833566174329,nan,-,-,-,-,-,"[50, 20, 15]",-
71,2.84,-16775600,-1.6476628281908647,nan,-,-,-,-,-,"[50, 20, 15]",-
72,2.88,-16775570,-6.590679169197768,nan,-,-,-,-,-,"[50, 20, 15]",-
73,2.92,-16775600,-5.638615848832382,nan,-,-,-,-,-,"[50, 20, 15]",-
74,2.96,-16775561,-8.24976666653249,nan,-,-,-,-,-,"[50, 20, 15]",-
76,3.04,-16775490,1.3994571479388611,nan,-,-,-,-,-,"[50, 20, 15]",-
77,3.08,-16775505,-1.688412245980111,nan,-,-,-,-,-,"[50, 20, 15]",-
78,3.12,-16775521,1.5501551926300157,nan,-,-,-,-,-,"[50, 20, 15]",-
79,3.16,-16775535,-26.464489768666873,nan,-,-,-,-,-,"[50, 20, 15]",-
80,3.2,-16775539,3.2597132337638226,nan,-,-,-,-,-,"[50, 20, 15]",-
81,3.24,-16775616,1.8764363295578779,nan,-,-,-,-,-,"[50, 20, 15]",-
82,3.28,-16775624,28.652789564943966,nan,-,-,-,-,-,"[50, 20, 15]",-
83,3.32,-16775466,6.3841871880659955,nan,-,-,-,-,-,"[50, 20, 15]",-
84,3.36,-16775448,-8.184345822362536,nan,-,-,-,-,-,"[50, 20, 15]",-
85,3.4,-16775414,-0.7805254931163748,nan,-,-,-,-,-,"[50, 20, 15]",-
86,3.44,-16775475,-0.8134568268121757,nan,-,-,-,-,-,"[50, 20, 15]",-
87,3.48,-16775590,34.4150026927191,nan,-,-,-,-,-,"[50, 20, 15]",-
88,3.52,-16775546,-5.147441720340199,nan,-,-,-,-,-,"[50, 20, 15]",-
89,3.56,-16775519,-3.4780366753457472,nan,-,-,-,-,-,"[50, 20, 15]",-
90,3.6,-16775714,7.973138209127715,nan,-,-,-,-,-,"[50, 20, 15]",-
91,3.64,-16775500,-0.9987228216985562,nan,-,-,-,-,-,"[50, 20, 15]",-
92,3.68,-16775463,-0.7950239121105209,nan,-,-,-,-,-,"[50, 20, 15]",-
93,3.72,-16775419,-69.48652919792679,nan,-,-,-,-,-,"[50, 20, 15]",-
94,3.76,-16775456,-72.21432557585533,nan,-,-,-,-,-,"[50, 20, 15]",-
95,3.8,-16775522,-9.141355280127915,nan,-,-,-,-,-,"[50, 20, 15]",-
96,3.84,-16775549,-9.743809771801855,nan,-,-,-,-,-,"[50, 20, 15]",-
97,3.88,-16775483,-11.089972728471949,nan,-,-,-,-,-,"[50, 20, 15]",-
98,3.92,-16775499,-16.187471819460658,nan,-,-,-,-,-,"[50, 20, 15]",-
99,3.96,-16775492,7.036945776990787,nan,-,-,-,-,-,"[50, 20, 15]",-
100,4.0,-16775505,4.35789791250704,nan,-,-,-,-,-,"[50, 20, 15]",-
101,4.04,-16775603,5.575434851267033,nan,-,-,-,-,-,"[50, 20, 15]",-
102,4.08,-16775643,18.02334515033239,nan,-,-,-,-,-,"[50, 20, 15]",-
103,4.12,-16775661,-1.3324499609553342,nan,-,-,-,-,-,"[50, 20, 15]",-
104,4.16,-16775669,-5.567852026505501,nan,-,-,-,-,-,"[50, 20, 15]",-
105,4.2,-16775590,-23.00133519361595,nan,-,-,-,-,-,"[50, 20, 15]",-
106,4.24,-16775629,58.66185839950326,nan,-,-,-,-,-,"[50, 20, 15]",-
107,4.28,-16775619,32.21044628539675,nan,-,-,-,-,-,"[50, 20, 15]",-
108,4.32,-16775526,-6.816105603665757,nan,-,-,-,-,-,"[50, 20, 15]",-
109,4.36,-16775391,-25.863981140798078,nan,-,-,-,-,-,"[50, 20, 15]",-
110,4.4,-16775545,-23.225063632070093,nan,-,-,-,-,-,"[50, 20, 15]",-
111,4.44,-16775565,-25.603282968693822,nan,-,-,-,-,-,"[50, 20, 15]",-
112,4.48,-16775558,-0.8456166353988781,nan,-,-,-,-,-,"[50, 20, 15]",-
113,4.52,-16775623,-3.21920887924103,nan,-,-,-,-,-,"[50, 20, 15]",-
114,4.56,-16775557,12.177460052544756,nan,-,-,-,-,-,"[50, 20, 15]",-
115,4.6,-16775641,29.005657211803022,nan,-,-,-,-,-,"[50, 20, 15]",-
116,4.64,-16775583,12.155048794999754,nan,-,-,-,-,-,"[50, 20, 15]",-
117,4.68,-16775436,3.007946938323178,nan,-,-,-,-,-,"[50, 20, 15]",-
118,4.72,-16775550,4.8811538899101,nan,-,-,-,-,-,"[50, 20, 15]",-
119,4.76,-16775504,-55.28009554138857,nan,-,-,-,-,-,"[50, 20, 15]",-
120,4.8,-16775657,-6.666191359938066,nan,-,-,-,-,-,"[50, 20, 15]",-
121,4.84,-16775574,-17.52485885314671,nan,-,-,-,-,-,"[50, 20, 15]",-
122,4.88,-16775472,-23.3878560847061,nan,-,-,-,-,-,"[50, 20, 15]",-
123,4.92,-16775466,-1.8890252254574262,nan,-,-,-,-,-,"[50, 20, 15]",-
124,4.96,-16775466,-1.238337822574159,nan,-,-,-,-,-,"[50, 20, 15]",-
125,5.0,-16775510,5.050043780247824,nan,-,-,-,-,-,"[50, 20, 15]",-
126,5.04,-16775514,0.34463466374264673,nan,-,-,-,-,-,"[50, 20, 15]",-
127,5.08,-16775587,7.515757489327887,nan,-,-,-,-,-,"[50, 20, 15]",-
128,5.12,-16775623,2.387131918881936,nan,-,-,-,-,-,"[50, 20, 15]",-
129,5.16,-16775620,-9.035584427010571,nan,-,-,-,-,-,"[50, 20, 15]",-
130,5.2,-16775507,1.64086298944372,nan,-,-,-,-,-,"[50, 20, 15]",-
131,5.24,-16775400,-23.241111541931463,nan,-,-,-,-,-,"[50, 20, 15]",-
