muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
1,0.04,-16775539,-9.408302954120524,nan,-,-,-,-,-,"[50, 20, 15]",-
2,0.08,-16775537,-32.15445552058518,nan,-,-,-,-,-,"[50, 20, 15]",-
3,0.12,-16775534,20.473251249764665,nan,-,-,-,-,-,"[50, 20, 15]",-
4,0.16,-16775415,-45.230493417441494,nan,-,-,-,-,-,"[50, 20, 15]",-
5,0.2,-16775522,-10.47025903818987,nan,-,-,-,-,-,"[50, 20, 15]",-
6,0.24,-16775487,-6.025183675308983,nan,-,-,-,-,-,"[50, 20, 15]",-
7,0.28,-16775486,-16.993710804108858,nan,-,-,-,-,-,"[50, 20, 15]",-
8,0.32,-16775519,0.9544296268934825,nan,-,-,-,-,-,"[50, 20, 15]",-
9,0.36,-16775401,-34.69663123101614,nan,-,-,-,-,-,"[50, 20, 15]",-
10,0.4,-16775534,9.85890504159676,nan,-,-,-,-,-,"[50, 20, 15]",-
11,0.44,-16775562,13.448831602925313,nan,-,-,-,-,-,"[50, 20, 15]",-
12,0.48,-16775513,-11.317832518852427,nan,-,-,-,-,-,"[50, 20, 15]",-
13,0.52,-16775398,-42.92877376841338,nan,-,-,-,-,-,"[50, 20, 15]",-
14,0.56,-16775297,-65.30734943684391,nan,-,-,-,-,-,"[50, 20, 15]",-
15,0.6,-16775511,-12.915972632561587,nan,-,-,-,-,-,"[50, 20, 15]",-
16,0.64,-16775488,38.86162073476566,nan,-,-,-,-,-,"[50, 20, 15]",-
17,0.68,-16775470,-21.26462704297497,nan,-,-,-,-,-,"[50, 20, 15]",-
18,0.72,-16775452,-1.8638553238946747,nan,-,-,-,-,-,"[50, 20, 15]",-
19,0.76,-16775416,-10.22899048808206,nan,-,-,-,-,-,"[50, 20, 15]",-
20,0.8,-16775458,-18.59643820976566,nan,-,-,-,-,-,"[50, 20, 15]",-
21,0.84,-16775492,50.43242893732625,nan,-,-,-,-,-,"[50, 20, 15]",-
22,0.88,-16775497,-15.204822390134488,nan,-,-,-,-,-,"[50, 20, 15]",-
23,0.92,-16775567,-9.731638744812182,nan,-,-,-,-,-,"[50, 20, 15]",-
24,0.96,-16775418,18.389952236428602,nan,-,-,-,-,-,"[50, 20, 15]",-
25,1.0,-16775444,-3.0151191513556075,nan,-,-,-,-,-,"[50, 20, 15]",-
26,1.04,-16775400,-31.6213463130186,nan,-,-,-,-,-,"[50, 20, 15]",-
27,1.08,-16775356,0.6849908303755177,nan,-,-,-,-,-,"[50, 20, 15]",-
28,1.12,-16775358,0.01944979069556174,nan,-,-,-,-,-,"[50, 20, 15]",-
29,1.16,-16775450,1.0976750558022,nan,-,-,-,-,-,"[50, 20, 15]",-
30,1.2,-16775434,-1.332232289168454,nan,-,-,-,-,-,"[50, 20, 15]",-
31,1.24,-16775489,-6.892940958356457,nan,-,-,-,-,-,"[50, 20, 15]",-
32,1.28,-16775460,-3.6110287224962834,nan,-,-,-,-,-,"[50, 20, 15]",-
33,1.32,-16775533,15.36794159690667,nan,-,-,-,-,-,"[50, 20, 15]",-
34,1.36,-16775399,-25.03735867136933,nan,-,-,-,-,-,"[50, 20, 15]",-
35,1.4,-16775436,-54.32733927848567,nan,-,-,-,-,-,"[50, 20, 15]",-
36,1.44,-16775381,4.4185561225955645,nan,-,-,-,-,-,"[50, 20, 15]",-
37,1.48,-16775498,10.46761899789817,nan,-,-,-,-,-,"[50, 20, 15]",-
38,1.52,-16775543,3.062505539359984,nan,-,-,-,-,-,"[50, 20, 15]",-
39,1.56,-16775462,43.359772492846744,nan,-,-,-,-,-,"[50, 20, 15]",-
40,1.6,-16775500,-28.256838697273164,nan,-,-,-,-,-,"[50, 20, 15]",-
41,1.64,-16775463,-8.896251368861106,nan,-,-,-,-,-,"[50, 20, 15]",-
42,1.68,-16775452,16.104569354147266,nan,-,-,-,-,-,"[50, 20, 15]",-
43,1.72,-16775489,5.857906231648612,nan,-,-,-,-,-,"[50, 20, 15]",-
44,1.76,-16775444,1.3866689257560794,nan,-,-,-,-,-,"[50, 20, 15]",-
45,1.8,-16775510,6.813125251786886,nan,-,-,-,-,-,"[50, 20, 15]",-
46,1.84,-16775552,-4.294683566055307,nan,-,-,-,-,-,"[50, 20, 15]",-
47,1.88,-16775493,-12.726170574394098,nan,-,-,-,-,-,"[50, 20, 15]",-
48,1.92,-16775582,-23.7198835071383,nan,-,-,-,-,-,"[50, 20, 15]",-
49,1.96,-16775530,4.29519413291273,nan,-,-,-,-,-,"[50, 20, 15]",-
50,2.0,-16775427,6.334624499995523,nan,-,-,-,-,-,"[50, 20, 15]",-
51,2.04,-16775458,-0.8606163683968027,nan,-,-,-,-,-,"[50, 20, 15]",-
52,2.08,-16775502,1.7835946411682824,nan,-,-,-,-,-,"[50, 20, 15]",-
53,2.12,-16775466,-8.829246550894057,nan,-,-,-,-,-,"[50, 20, 15]",-
54,2.16,-16775409,-9.580132238324934,nan,-,-,-,-,-,"[50, 20, 15]",-
55,2.2,-16775486,-2.9506079974366544,nan,-,-,-,-,-,"[50, 20, 15]",-
56,2.24,-16775510,-15.896973849010326,nan,-,-,-,-,-,"[50, 20, 15]",-
57,2.28,-16775464,-18.682690852961322,nan,-,-,-,-,-,"[50, 20, 15]",-
58,2.32,-16775398,-55.8378266227296,nan,-,-,-,-,-,"[50, 20, 15]",-
59,2.36,-16775598,25.705279691103016,nan,-,-,-,-,-,"[50, 20, 15]",-
60,2.4,-16775660,-1.0272382383471994,nan,-,-,-,-,-,"[50, 20, 15]",-
61,2.44,-16775585,8.815270059813567,nan,-,-,-,-,-,"[50, 20, 15]",-
62,2.48,-16775584,0.5327301526279873,nan,-,-,-,-,-,"[50, 20, 15]",-
63,2.52,-16775549,26.9167015913866,nan,-,-,-,-,-,"[50, 20, 15]",-
64,2.56,-16775512,7.562674131999174,nan,-,-,-,-,-,"[50, 20, 15]",-
65,2.6,-16775358,-20.12900990131964,nan,-,-,-,-,-,"[50, 20, 15]",-
66,2.64,-16775433,-37.27223206362365,nan,-,-,-,-,-,"[50, 20, 15]",-
67,2.68,-16775476,-14.830825925557352,nan,-,-,-,-,-,"[50, 20, 15]",-
68,2.72,-16775436,-12.283289659882932,nan,-,-,-,-,-,"[50, 20, 15]",-
69,2.76,-16775563,-16.212387133500847,nan,-,-,-,-,-,"[50, 20, 15]",-
70,2.8,-16775523,-46.66270998372722,nan,-,-,-,-,-,"[50, 20, 15]",-
71,2.84,-16775555,16.189095070720903,nan,-,-,-,-,-,"[50, 20, 15]",-
72,2.88,-16775537,43.90685948722619,nan,-,-,-,-,-,"[50, 20, 15]",-
73,2.92,-16775598,36.72414314111154,nan,-,-,-,-,-,"[50, 20, 15]",-
74,2.96,-16775515,35.055677661271055,nan,-,-,-,-,-,"[50, 20, 15]",-
76,3.04,-16775345,3.3468938678788724,nan,-,-,-,-,-,"[50, 20, 15]",-
77,3.08,-16775381,-45.832618641744276,nan,-,-,-,-,-,"[50, 20, 15]",-
78,3.12,-16775437,-26.030688405880888,nan,-,-,-,-,-,"[50, 20, 15]",-
79,3.16,-16775500,-10.543471197266246,nan,-,-,-,-,-,"[50, 20, 15]",-
80,3.2,-16775380,-4.625996805774209,nan,-,-,-,-,-,"[50, 20, 15]",-
