muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
105,4.2,-1444379,-504.2985596816216,85,-,-,-,-
106,4.24,-1444778,-554.1687533970297,85,-,-,-,-
107,4.28,-1445560,-385.63010298299116,85,-,-,-,-
108,4.32,-1446069,-262.4852821569755,85,-,-,-,-
109,4.36,-1447126,-258.8870058712248,85,-,-,-,-
110,4.4,-1440303,-584.0798747270946,85,-,-,-,-
111,4.44,-1436001,-778.8164326731439,85,-,-,-,-
112,4.48,-1437987,-639.8834140599306,85,-,-,-,-
113,4.52,-1438101,-436.5363515627714,85,-,-,-,-
114,4.56,-1438326,-179.93269554002111,85,-,-,-,-
115,4.6,-1438774,50.52595948189753,85,-,-,-,-
116,4.64,-1438458,194.45629131983492,85,-,-,-,-
117,4.68,-1438795,358.91371235543716,85,-,-,-,-
118,4.72,-1439910,649.2119501677435,85,-,-,-,-
119,4.76,-1441064,1031.104364548929,85,-,-,-,-
120,4.8,-1441701,1255.8999023853407,85,-,-,-,-
121,4.84,-1442032,1043.5204364916642,85,-,-,-,-
122,4.88,-1442611,430.9593985024037,85,-,-,-,-
123,4.92,-1443051,-203.06568136982287,85,-,-,-,-
124,4.96,-1443615,-496.84866887116834,85,-,-,-,-
125,5.0,-1444140,-481.02291611293015,85,-,-,-,-
126,5.04,-1444995,-397.3381880386513,85,-,-,-,-
127,5.08,-1445195,-428.092825673292,85,-,-,-,-
128,5.12,-1445993,-486.8588380695542,85,-,-,-,-
129,5.16,-1440281,-684.5672584707818,85,-,-,-,-
130,5.2,-1435329,-737.9578939240455,85,-,-,-,-
131,5.24,-1436021,-536.2148862766344,85,-,-,-,-
132,5.28,-1437285,-313.16596592784276,85,-,-,-,-
133,5.32,-1436986,-165.49635231228422,85,-,-,-,-
134,5.36,-1437400,-8.674486075544792,85,-,-,-,-
135,5.4,-1437448,143.61244205400385,85,-,-,-,-
136,5.44,-1437578,342.23567691669473,85,-,-,-,-
137,5.48,-1438254,650.5460654508997,85,-,-,-,-
138,5.52,-1438904,1021.5998651838563,85,-,-,-,-
139,5.56,-1439624,1256.0676997747655,85,-,-,-,-
140,5.6,-1440360,1087.759010775238,85,-,-,-,-
141,5.64,-1440761,495.5566816041637,85,-,-,-,-
142,5.68,-1441502,-146.96476679632656,85,-,-,-,-
143,5.72,-1443240,-449.9448899045781,85,-,-,-,-
144,5.76,-1442751,-493.5533828275897,85,-,-,-,-
145,5.8,-1442970,-417.72488630914063,85,-,-,-,-
146,5.84,-1443437,-407.0840869303938,85,-,-,-,-
147,5.88,-1444503,-437.8336208763586,85,-,-,-,-
148,5.92,-1443917,-495.7727957546383,85,-,-,-,-
149,5.96,-1435366,-735.9255947845431,85,-,-,-,-
150,6.0,-1435323,-641.9248304834819,90,87.5,-,-,-
151,6.04,-1437732,-437.7025133076713,90,-,-,-,-
152,6.08,-1437690,-289.1248162095763,90,-,-,-,-
153,6.12,-1437288,-114.54818019386323,90,-,-,-,-
154,6.16,-1437981,119.52560324051751,90,-,-,-,-
155,6.2,-1438621,331.5556328608568,90,-,-,-,-
156,6.24,-1439402,532.076745655597,90,-,-,-,-
157,6.28,-1440101,781.5610834337649,90,-,-,-,-
158,6.32,-1440655,1044.5963660281564,90,-,-,-,-
159,6.36,-1441417,1089.3420021271322,90,-,-,-,-
160,6.4,-1441902,696.691257987269,90,-,-,-,-
161,6.44,-1442744,67.16902525571095,90,-,-,-,-
162,6.48,-1443445,-388.0586260867452,90,-,-,-,-
163,6.52,-1443671,-498.0970539019442,90,-,-,-,-
164,6.56,-1444046,-431.5348653506793,90,-,-,-,-
165,6.6,-1444972,-390.13130347522133,90,-,-,-,-
166,6.64,-1440382,-573.9601185495476,90,-,-,-,-
167,6.68,-1434449,-753.1059853062934,90,-,-,-,-
168,6.72,-1434476,-656.2741609418117,90,-,-,-,-
169,6.76,-1435404,-475.9479494171792,90,-,-,-,-
170,6.8,-1435375,-304.000660234878,90,-,-,-,-
171,6.84,-1435119,-126.75884815538666,90,-,-,-,-
172,6.88,-1436373,111.4747751313223,90,-,-,-,-
173,6.92,-1436421,336.3318337410765,90,-,-,-,-
