muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
54,2.16,-16775504,-36.150209789699495,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
55,2.2,-16775635,-6.1152129851734625,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
56,2.24,-16775686,7.111841502010955,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
57,2.28,-16775678,3.22782559272786,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
58,2.32,-16775471,3.5255421288843376,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
59,2.36,-16775572,47.24649686031655,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
60,2.4,-16775665,18.18555474369995,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
61,2.44,-16775690,44.36936364328125,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
62,2.48,-16775667,-45.25200475463385,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
63,2.52,-16775539,3.8919154681091057,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
64,2.56,-16775536,-57.0554382991698,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
65,2.6,-16775562,7.840207134629392,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
66,2.64,-16775638,-35.57750809960912,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
67,2.68,-16775607,-3.367626106397233,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
68,2.72,-16775604,9.988719587512472,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
69,2.76,-16775581,14.402029886954084,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
