muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
1,0.04,-16775674,5.392359690664607,nan,-,-,-,-,-,"[50, 20, 15]",-
2,0.08,-16775526,4.2687147241992465,nan,-,-,-,-,-,"[50, 20, 15]",-
3,0.12,-16775554,-0.37333308098938245,nan,-,-,-,-,-,"[50, 20, 15]",-
4,0.16,-16775596,5.96644920040549,nan,-,-,-,-,-,"[50, 20, 15]",-
5,0.2,-16775644,-1.0000389522631834,nan,-,-,-,-,-,"[50, 20, 15]",-
6,0.24,-16775579,-30.530096304173597,nan,-,-,-,-,-,"[50, 20, 15]",-
7,0.28,-16775572,-26.913555456886886,nan,-,-,-,-,-,"[50, 20, 15]",-
8,0.32,-16775682,12.362658401696713,nan,-,-,-,-,-,"[50, 20, 15]",-
9,0.36,-16775553,7.9383426754417545,nan,-,-,-,-,-,"[50, 20, 15]",-
10,0.4,-16775519,-49.02626542617117,nan,-,-,-,-,-,"[50, 20, 15]",-
11,0.44,-16775456,-61.82111807222422,nan,-,-,-,-,-,"[50, 20, 15]",-
12,0.48,-16775535,-18.355371710335337,nan,-,-,-,-,-,"[50, 20, 15]",-
13,0.52,-16775540,25.01535117964643,nan,-,-,-,-,-,"[50, 20, 15]",-
14,0.56,-16775591,35.55728372528186,nan,-,-,-,-,-,"[50, 20, 15]",-
15,0.6,-16775591,26.333790961000936,nan,-,-,-,-,-,"[50, 20, 15]",-
16,0.64,-16775572,0.36351314854956285,nan,-,-,-,-,-,"[50, 20, 15]",-
17,0.68,-16775592,-19.417630783509868,nan,-,-,-,-,-,"[50, 20, 15]",-
18,0.72,-16775633,24.71154056681047,nan,-,-,-,-,-,"[50, 20, 15]",-
19,0.76,-16775590,3.748163890223252,nan,-,-,-,-,-,"[50, 20, 15]",-
20,0.8,-16775468,27.132106449712918,nan,-,-,-,-,-,"[50, 20, 15]",-
21,0.84,-16775545,2.3240731723462416,nan,-,-,-,-,-,"[50, 20, 15]",-
22,0.88,-16775498,-15.07143921368069,nan,-,-,-,-,-,"[50, 20, 15]",-
23,0.92,-16775538,-37.04098257808036,nan,-,-,-,-,-,"[50, 20, 15]",-
24,0.96,-16775563,-3.081792724505395,nan,-,-,-,-,-,"[50, 20, 15]",-
25,1.0,-16775526,-20.3972918397967,nan,-,-,-,-,-,"[50, 20, 15]",-
26,1.04,-16775511,-4.930194184943989,nan,-,-,-,-,-,"[50, 20, 15]",-
27,1.08,-16775499,-2.623600959289341,nan,-,-,-,-,-,"[50, 20, 15]",-
28,1.12,-16775613,26.085750256645078,nan,-,-,-,-,-,"[50, 20, 15]",-
29,1.16,-16775650,22.45663081161235,nan,-,-,-,-,-,"[50, 20, 15]",-
30,1.2,-16775579,29.076406677343996,nan,-,-,-,-,-,"[50, 20, 15]",-
31,1.24,-16775603,23.161502245818568,nan,-,-,-,-,-,"[50, 20, 15]",-
32,1.28,-16775499,40.09603267310032,nan,-,-,-,-,-,"[50, 20, 15]",-
33,1.32,-16775485,-5.460809313267236,nan,-,-,-,-,-,"[50, 20, 15]",-
34,1.36,-16775536,-19.433065870390237,nan,-,-,-,-,-,"[50, 20, 15]",-
35,1.4,-16775629,-1.165205006470976,nan,-,-,-,-,-,"[50, 20, 15]",-
36,1.44,-16775621,5.7739488212121035,nan,-,-,-,-,-,"[50, 20, 15]",-
37,1.48,-16775521,-15.626656632171839,nan,-,-,-,-,-,"[50, 20, 15]",-
38,1.52,-16775544,30.33993919605716,nan,-,-,-,-,-,"[50, 20, 15]",-
39,1.56,-16775532,-30.92577523940958,nan,-,-,-,-,-,"[50, 20, 15]",-
40,1.6,-16775551,5.748735219168386,nan,-,-,-,-,-,"[50, 20, 15]",-
41,1.64,-16775591,27.8170648345471,nan,-,-,-,-,-,"[50, 20, 15]",-
42,1.68,-16775568,9.336844755517175,nan,-,-,-,-,-,"[50, 20, 15]",-
43,1.72,-16775603,23.061965724044924,nan,-,-,-,-,-,"[50, 20, 15]",-
44,1.76,-16775555,-14.208636740672631,nan,-,-,-,-,-,"[50, 20, 15]",-
45,1.8,-16775400,5.96018392808712,nan,-,-,-,-,-,"[50, 20, 15]",-
46,1.84,-16775447,-12.028366764183081,nan,-,-,-,-,-,"[50, 20, 15]",-
47,1.88,-16775550,19.193033022299538,nan,-,-,-,-,-,"[50, 20, 15]",-
48,1.92,-16775604,29.312636927273125,nan,-,-,-,-,-,"[50, 20, 15]",-
49,1.96,-16775668,56.39624198594938,nan,-,-,-,-,-,"[50, 20, 15]",-
50,2.0,-16775521,-0.893452453172209,nan,-,-,-,-,-,"[50, 20, 15]",-
51,2.04,-16775522,-1.576034312786999,nan,-,-,-,-,-,"[50, 20, 15]",-
52,2.08,-16775573,15.532777751974837,nan,-,-,-,-,-,"[50, 20, 15]",-
53,2.12,-16775606,2.682076299271714,nan,-,-,-,-,-,"[50, 20, 15]",-
54,2.16,-16775523,8.520163015843076,nan,-,-,-,-,-,"[50, 20, 15]",-
55,2.2,-16775627,2.797452230042804,nan,-,-,-,-,-,"[50, 20, 15]",-
56,2.24,-16775657,30.204429056822878,nan,-,-,-,-,-,"[50, 20, 15]",-
