muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
69,2.76,-16775480,9.017734411033837,nan,-,-,-,-,-,"[50, 20, 15]",-
70,2.8,-16775520,12.60302492005275,nan,-,-,-,-,-,"[50, 20, 15]",-
71,2.84,-16775535,20.590956787850217,nan,-,-,-,-,-,"[50, 20, 15]",-
72,2.88,-16775545,19.303938315290686,nan,-,-,-,-,-,"[50, 20, 15]",-
73,2.92,-16775586,7.41666269939722,nan,-,-,-,-,-,"[50, 20, 15]",-
74,2.96,-16775536,-9.995031259358967,nan,-,-,-,-,-,"[50, 20, 15]",-
76,3.04,-16775465,4.63937369333223,nan,-,-,-,-,-,"[50, 20, 15]",-
77,3.08,-16775498,2.143835826870234,nan,-,-,-,-,-,"[50, 20, 15]",-
78,3.12,-16775435,-11.982995515823475,nan,-,-,-,-,-,"[50, 20, 15]",-
79,3.16,-16775378,-1.8697984964535026,nan,-,-,-,-,-,"[50, 20, 15]",-
80,3.2,-16775488,-9.027737784344204,nan,-,-,-,-,-,"[50, 20, 15]",-
81,3.24,-16775465,-9.363705108590045,nan,-,-,-,-,-,"[50, 20, 15]",-
82,3.28,-16775496,0.6589643814858948,nan,-,-,-,-,-,"[50, 20, 15]",-
83,3.32,-16775520,5.382053463747509,nan,-,-,-,-,-,"[50, 20, 15]",-
84,3.36,-16775493,9.388487521146468,nan,-,-,-,-,-,"[50, 20, 15]",-
85,3.4,-16775497,22.649264211950523,nan,-,-,-,-,-,"[50, 20, 15]",-
86,3.44,-16775517,19.651114245131886,nan,-,-,-,-,-,"[50, 20, 15]",-
87,3.48,-16775572,12.616816470193742,nan,-,-,-,-,-,"[50, 20, 15]",-
88,3.52,-16775562,38.42851389972295,nan,-,-,-,-,-,"[50, 20, 15]",-
89,3.56,-16775486,7.194921976906147,nan,-,-,-,-,-,"[50, 20, 15]",-
90,3.6,-16775509,-3.130979344786722,nan,-,-,-,-,-,"[50, 20, 15]",-
91,3.64,-16775509,-21.01962899292408,nan,-,-,-,-,-,"[50, 20, 15]",-
92,3.68,-16775511,-2.697935933542706,nan,-,-,-,-,-,"[50, 20, 15]",-
93,3.72,-16775498,-11.179163085800749,nan,-,-,-,-,-,"[50, 20, 15]",-
94,3.76,-16775527,-6.9541019568628455,nan,-,-,-,-,-,"[50, 20, 15]",-
